Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Azria Gonzalez,17,4.23,0,10,Early College,Junior
Cal Miller,19,0.73,1,56,Early College,Freshman
Dutch Anderson,15,1.56,0,18,Criminal Justice,Junior
Sujay Johnson,19,2.14,1,47,Construction,Senior
Sam Rodriguez,15,4.29,3,28,Early College,Sophomore
Gavin Rodriguez,19,1.14,3,38,Culinary,Freshman
Joe Johnson,15,0.48,2,29,Early College,Sophomore
Nate Brown,15,3.89,1,51,Business,Sophomore
Emm Brown,16,2.8,2,24,Early Childhood Education,Senior
Emm Taylor,17,0.61,2,21,Business,Sophomore
Vihaan Moore,14,0.54,3,31,Marketing,Senior
Nate Smith,15,3.2,3,0,Criminal Justice,Senior
Gavin Rodriguez,16,4.1,2,13,Criminal Justice,Senior
Vihaan Rodriguez,14,2.11,2,4,Early College,Freshman
Manny Martin,18,3.7,2,20,Business,Freshman
Emm Williams,17,2.67,1,54,Marketing,Sophomore
Emm Jones,16,1.44,2,0,Bio Med,Senior
Kelsey Thomas,16,4.2,3,14,Bio Med,Junior
Sujay Martinez,18,0.67,0,5,Culinary,Sophomore
Sujay Wilson,19,1.31,1,50,Criminal Justice,Sophomore
avery Garcia,15,3.51,2,12,Engineering,Senior
Kelsey Hernandez,14,0.57,1,20,Bio Med,Senior
Azria Thomas,14,3.78,1,34,Criminal Justice,Senior
Sujay Davis,17,3.05,3,3,Construction,Junior
Alice Smith,15,3.11,2,7,Culinary,Junior
Alice Miller,19,2.12,0,2,Construction,Senior
avery Lopez,15,1.47,0,58,Criminal Justice,Sophomore
Joe Anderson,14,1.39,2,54,Computer Science,Sophomore
avery Lopez,17,4.29,1,46,Computer Science,Freshman
Abby Smith,19,4.22,2,35,Bio Med,Senior
Sujay Jackson,15,2.62,2,24,Bio Med,Freshman
Abby Miller,14,2.41,3,44,Computer Science,Senior
Cal Hernandez,15,2.38,1,32,Early Childhood Education,Sophomore
Azria Taylor,14,2.33,3,15,Culinary,Junior
Cal Brown,18,2.73,2,21,Business,Junior
avery Martinez,17,1.55,3,9,Culinary,Sophomore
Joe Jones,19,2.4,1,50,Culinary,Junior
Emm Hernandez,14,1.9,0,2,Early Childhood Education,Sophomore
Sam Martinez,14,1.9,1,48,Early College,Sophomore
Sam Gonzalez,18,2.44,2,0,Computer Science,Sophomore
Joe Jones,16,2.36,2,4,Marketing,Junior
Sujay Moore,15,2.26,2,21,Early Childhood Education,Sophomore
Nate Taylor,16,2.33,3,14,Construction,Junior
Alice Garcia,14,1.16,1,1,Bio Med,Freshman
Manny Brown,18,0.56,3,32,Computer Science,Freshman
Gavin Wilson,15,3.6,3,18,Computer Science,Senior
Joe Brown,15,0.81,3,11,Culinary,Junior
avery Jones,17,3.28,0,30,Marketing,Senior
Dutch Taylor,14,0.82,0,52,Criminal Justice,Freshman
Joe Taylor,17,0.47,1,36,Early College,Senior
Alice Williams,19,2.14,1,28,Culinary,Sophomore
Kelsey Smith,18,1.94,1,11,Culinary,Freshman
Dutch Miller,19,1.33,3,19,Early College,Junior
Manny Johnson,14,4.21,1,53,Early College,Freshman
Azria Garcia,17,2.51,1,34,Construction,Freshman
Josh Miller,14,1.28,1,26,Bio Med,Junior
Sam Martinez,17,3.37,3,60,Early College,Freshman
avery Davis,18,3.61,0,49,Business,Senior
Abby Taylor,19,2.38,1,13,Early College,Junior
Abby Taylor,18,3.29,3,46,Criminal Justice,Sophomore
Sujay Davis,19,1.68,2,50,Engineering,Junior
Azria Lopez,14,2.34,1,27,Construction,Senior
Vihaan Johnson,15,4.02,3,15,Criminal Justice,Senior
Dutch Davis,17,0.9,1,23,Culinary,Senior
Alice Smith,14,0.42,3,52,Early Childhood Education,Freshman
Dutch Davis,15,3.98,3,31,Business,Junior
Azria Williams,16,0.75,3,11,Engineering,Freshman
Emm Martinez,17,1.07,0,45,Business,Junior
Emm Lopez,16,3.6,1,34,Construction,Sophomore
Gavin Smith,17,1.61,3,17,Marketing,Junior
Alice Taylor,17,1.63,0,58,Business,Senior
Nate Williams,16,0.84,3,43,Business,Freshman
Cal Thomas,14,2.7,0,49,Business,Freshman
Alice Martinez,15,3.36,0,41,Bio Med,Freshman
Sujay Miller,18,4.27,3,21,Culinary,Freshman
Azria Rodriguez,19,0.66,3,17,Bio Med,Senior
Josh Lopez,18,1.41,1,8,Business,Junior
Josh Thomas,16,3.51,2,44,Construction,Freshman
Kelsey Miller,19,0.51,1,15,Culinary,Junior
Manny Johnson,15,1.32,1,21,Computer Science,Junior
Azria Wilson,18,0.96,2,58,Early College,Sophomore
Cal Hernandez,14,2.34,0,46,Culinary,Sophomore
Abby Jackson,15,1.13,0,5,Marketing,Freshman
Dutch Smith,18,0.51,0,2,Construction,Freshman
Kelsey Jackson,15,0.88,3,57,Business,Junior
Alice Miller,14,1.0,1,42,Bio Med,Senior
Sam Martin,19,3.12,3,46,Business,Freshman
Sujay Martin,18,4.33,1,14,Early Childhood Education,Sophomore
Gavin Wilson,16,3.41,3,53,Early College,Junior
avery Brown,19,0.65,1,34,Criminal Justice,Freshman
Cal Gonzalez,18,0.72,1,35,Criminal Justice,Sophomore
Sam Williams,18,2.58,1,16,Engineering,Junior
Sam Brown,14,1.15,2,29,Engineering,Sophomore
avery Wilson,15,2.88,2,41,Construction,Sophomore
Cal Jackson,17,0.74,2,10,Culinary,Sophomore
Vihaan Garcia,17,3.08,1,33,Early College,Freshman
Josh Johnson,16,1.37,2,57,Early Childhood Education,Freshman
Azria Taylor,16,0.58,2,17,Culinary,Junior
Cal Taylor,17,1.09,3,24,Business,Junior
Sujay Anderson,16,3.62,0,0,Business,Senior
Kelsey Martin,17,1.56,1,48,Culinary,Senior
Dutch Miller,15,0.83,1,4,Engineering,Senior
Sam Martinez,14,3.41,1,42,Criminal Justice,Sophomore
Gavin Gonzalez,16,2.6,1,0,Early Childhood Education,Freshman
Sujay Garcia,14,3.92,0,24,Business,Freshman
Sujay Jones,15,2.05,2,24,Construction,Senior
Manny Martin,14,2.87,2,46,Engineering,Freshman
avery Hernandez,16,1.29,2,4,Early College,Junior
Kelsey Rodriguez,18,0.84,0,15,Engineering,Sophomore
Dutch Anderson,17,0.83,3,26,Criminal Justice,Freshman
Abby Martinez,19,3.17,2,16,Early Childhood Education,Junior
Sujay Miller,18,2.27,3,2,Engineering,Sophomore
Nate Smith,17,3.16,2,0,Marketing,Freshman
Nate Garcia,17,4.31,3,12,Early College,Freshman
avery Hernandez,16,3.54,2,43,Culinary,Senior
Sujay Taylor,18,1.72,1,13,Bio Med,Freshman
Emm Davis,14,3.73,0,36,Early Childhood Education,Senior
Manny Martin,15,2.39,2,56,Criminal Justice,Sophomore
Joe Jackson,14,0.41,3,51,Engineering,Junior
Josh Miller,14,2.05,2,19,Criminal Justice,Sophomore
avery Anderson,16,4.39,3,46,Engineering,Senior
Gavin Rodriguez,15,1.53,0,5,Business,Junior
Kelsey Smith,18,4.38,3,48,Culinary,Senior
Josh Jones,14,1.45,2,17,Culinary,Senior
Abby Moore,15,0.61,2,27,Construction,Sophomore
Sujay Brown,17,1.08,3,41,Marketing,Freshman
Josh Garcia,15,3.1,2,40,Bio Med,Sophomore
Emm Taylor,16,4.06,2,23,Early College,Sophomore
Azria Williams,18,1.47,3,58,Culinary,Freshman
Alice Wilson,15,1.84,0,28,Early College,Sophomore
Joe Lopez,19,0.4,1,59,Business,Senior
Joe Lopez,17,0.77,3,55,Culinary,Junior
Cal Anderson,18,1.77,0,20,Engineering,Junior
Emm Lopez,16,1.65,1,52,Business,Sophomore
Dutch Lopez,18,1.16,1,35,Early Childhood Education,Junior
Joe Gonzalez,15,2.14,2,25,Construction,Senior
Dutch Davis,19,2.38,0,2,Construction,Sophomore
Azria Gonzalez,18,1.15,2,22,Construction,Senior
Manny Miller,19,0.9,0,46,Marketing,Junior
Azria Moore,15,1.05,0,19,Early Childhood Education,Freshman
Kelsey Taylor,18,3.7,3,53,Culinary,Freshman
Sujay Miller,15,1.78,0,36,Culinary,Sophomore
Gavin Gonzalez,16,3.11,2,50,Early College,Freshman
Emm Brown,15,0.34,3,5,Criminal Justice,Freshman
Dutch Gonzalez,14,0.88,1,24,Marketing,Freshman
Vihaan Jackson,17,0.95,3,50,Culinary,Freshman
Vihaan Martinez,14,3.48,1,2,Computer Science,Junior
Vihaan Miller,14,2.42,1,40,Bio Med,Sophomore
Abby Rodriguez,18,1.22,2,28,Construction,Senior
Kelsey Anderson,17,1.66,3,57,Culinary,Freshman
Abby Gonzalez,15,1.73,1,19,Computer Science,Sophomore
Vihaan Smith,16,4.05,0,2,Early Childhood Education,Freshman
Abby Rodriguez,15,1.24,3,6,Construction,Senior
Gavin Miller,14,3.12,2,26,Marketing,Sophomore
Kelsey Lopez,16,4.36,2,60,Early Childhood Education,Junior
avery Martinez,19,3.75,2,42,Engineering,Junior
Alice Davis,19,0.7,1,40,Early Childhood Education,Sophomore
