Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Manny Davis,16,2.0,1,0,Early College,Junior
Nate Jackson,14,2.2,2,29,Engineering,Junior
Dutch Miller,16,4.2,1,1,Business,Senior
Alice Brown,19,0.99,1,36,Bio Med,Freshman
Azria Anderson,16,1.53,0,18,Construction,Junior
Azria Wilson,18,3.52,1,53,Business,Sophomore
Gavin Lopez,16,2.22,0,50,Marketing,Freshman
Josh Rodriguez,17,0.59,1,52,Engineering,Junior
Josh Anderson,17,1.29,3,21,Marketing,Junior
Manny Garcia,19,1.9,2,38,Construction,Sophomore
Sam Smith,18,1.9,2,40,Construction,Freshman
Azria Garcia,19,0.38,0,33,Early College,Sophomore
Emm Williams,19,3.87,0,40,Business,Junior
Alice Davis,16,0.4,2,54,Culinary,Senior
Vihaan Miller,19,3.02,1,10,Early Childhood Education,Junior
Manny Rodriguez,19,1.14,3,5,Computer Science,Sophomore
Manny Davis,18,0.56,3,24,Engineering,Senior
Josh Jones,14,2.15,0,55,Business,Junior
Nate Jackson,14,3.68,2,54,Construction,Sophomore
Vihaan Martinez,17,4.38,3,3,Engineering,Freshman
Avery Jones,16,2.22,2,42,Culinary,Senior
Avery Johnson,18,1.92,2,13,Business,Junior
Vihaan Jackson,17,3.6,3,31,Early Childhood Education,Sophomore
Azria Gonzalez,19,3.36,0,48,Engineering,Junior
Gavin Lopez,15,1.02,3,54,Criminal Justice,Senior
Emm Taylor,15,1.56,1,56,Culinary,Sophomore
Cal Taylor,17,2.98,0,32,Culinary,Freshman
Cal Rodriguez,17,2.36,2,14,Bio Med,Sophomore
Joe Garcia,16,0.5,0,52,Engineering,Junior
Azria Jones,16,3.95,0,17,Computer Science,Junior
Joe Miller,19,3.09,3,36,Bio Med,Senior
Sujay Lopez,18,1.0,3,2,Computer Science,Senior
Kelsey Smith,15,1.32,2,31,Business,Freshman
Abby Moore,18,3.56,0,35,Criminal Justice,Freshman
Dutch Hernandez,19,0.63,1,0,Computer Science,Junior
Azria Martin,19,1.68,1,14,Culinary,Freshman
Vihaan Jones,14,2.22,3,13,Engineering,Sophomore
Alice Anderson,18,0.33,2,45,Early Childhood Education,Senior
Vihaan Taylor,17,3.24,0,45,Business,Freshman
Alice Miller,14,2.05,3,14,Marketing,Freshman
Joe Moore,17,2.94,3,17,Bio Med,Sophomore
Avery Anderson,18,2.2,3,32,Criminal Justice,Junior
Vihaan Gonzalez,19,4.38,1,30,Marketing,Sophomore
Sam Johnson,14,2.34,3,38,Criminal Justice,Freshman
Avery Rodriguez,16,4.05,1,34,Early College,Senior
Emm Anderson,14,2.55,3,4,Construction,Freshman
Emm Thomas,15,2.61,1,44,Business,Junior
Cal Jones,14,2.4,2,26,Criminal Justice,Sophomore
Emm Taylor,14,1.75,1,21,Early College,Senior
Avery Jackson,14,0.3,3,24,Bio Med,Senior
Sam Davis,15,1.25,1,52,Engineering,Senior
Cal Brown,14,0.91,3,23,Early College,Junior
Alice Taylor,16,3.08,3,4,Engineering,Senior
Kelsey Lopez,17,2.02,0,14,Construction,Senior
Vihaan Garcia,16,3.97,1,5,Early Childhood Education,Senior
Dutch Brown,18,2.02,3,14,Marketing,Junior
Manny Gonzalez,14,1.66,2,7,Computer Science,Freshman
Josh Rodriguez,17,2.04,1,18,Marketing,Sophomore
Cal Jackson,16,2.64,2,8,Early College,Sophomore
Avery Miller,18,1.76,2,9,Early College,Sophomore
Joe Garcia,16,2.72,0,13,Criminal Justice,Junior
Sujay Miller,15,3.24,0,21,Early College,Sophomore
Cal Smith,17,3.33,2,15,Early College,Freshman
Sam Taylor,17,3.87,0,35,Construction,Senior
Vihaan Martin,14,0.89,3,13,Engineering,Sophomore
Emm Smith,18,0.81,3,18,Bio Med,Senior
Azria Lopez,17,3.43,1,53,Engineering,Senior
Emm Thomas,14,0.65,1,42,Marketing,Junior
Avery Miller,16,2.57,2,39,Engineering,Sophomore
Vihaan Smith,14,2.44,0,43,Construction,Junior
Sujay Wilson,15,0.48,1,46,Early Childhood Education,Junior
Manny Hernandez,15,3.82,1,1,Early College,Senior
Azria Anderson,17,0.71,2,50,Computer Science,Senior
Nate Miller,14,0.53,2,49,Early College,Junior
Sam Williams,17,0.45,3,46,Culinary,Senior
Emm Miller,14,2.65,1,11,Computer Science,Sophomore
Alice Johnson,14,4.11,1,42,Bio Med,Junior
Manny Williams,14,1.23,2,0,Engineering,Sophomore
Emm Smith,18,3.66,0,29,Marketing,Sophomore
Abby Taylor,17,1.66,1,3,Bio Med,Sophomore
Nate Smith,15,4.15,0,8,Engineering,Junior
Abby Rodriguez,15,2.37,3,26,Bio Med,Junior
Vihaan Taylor,18,2.03,2,41,Bio Med,Junior
Avery Thomas,18,1.3,0,44,Early Childhood Education,Sophomore
Azria Gonzalez,17,4.1,3,60,Engineering,Freshman
Joe Rodriguez,17,1.07,3,58,Marketing,Senior
Sujay Brown,18,1.1,1,36,Marketing,Senior
Gavin Gonzalez,14,3.62,0,34,Early College,Senior
Nate Taylor,14,3.47,3,40,Bio Med,Freshman
Gavin Martinez,18,2.02,3,34,Culinary,Sophomore
Avery Martinez,16,3.44,3,44,Early Childhood Education,Junior
Sam Taylor,16,1.41,3,28,Bio Med,Sophomore
Gavin Anderson,16,2.82,3,40,Bio Med,Freshman
Manny Gonzalez,17,3.94,0,31,Early Childhood Education,Sophomore
Emm Taylor,18,0.31,2,8,Early Childhood Education,Senior
Alice Brown,15,2.71,3,6,Construction,Senior
Abby Taylor,18,1.27,2,36,Early College,Freshman
Cal Lopez,18,3.46,2,36,Criminal Justice,Sophomore
Kelsey Gonzalez,15,3.89,3,30,Early College,Freshman
Nate Rodriguez,15,1.66,2,12,Bio Med,Senior
Avery Johnson,14,2.67,0,6,Construction,Senior
Nate Martin,19,1.95,2,32,Computer Science,Senior
Emm Rodriguez,14,0.57,0,5,Criminal Justice,Freshman
Abby Thomas,18,2.56,0,17,Computer Science,Senior
Azria Brown,19,0.74,1,46,Culinary,Freshman
Kelsey Lopez,16,3.55,0,32,Construction,Junior
Manny Smith,19,0.95,0,50,Culinary,Junior
Abby Smith,15,3.29,0,58,Early College,Junior
Nate Thomas,18,3.45,2,56,Culinary,Sophomore
Abby Smith,19,2.63,1,2,Business,Freshman
Manny Williams,18,3.28,2,0,Construction,Sophomore
Sujay Jones,18,1.03,2,12,Engineering,Junior
Emm Lopez,17,1.09,2,24,Criminal Justice,Freshman
Sujay Wilson,15,0.99,3,42,Business,Senior
Emm Garcia,14,3.24,2,60,Culinary,Junior
Abby Davis,14,2.35,1,9,Engineering,Sophomore
Abby Miller,14,2.61,3,19,Early Childhood Education,Freshman
Joe Davis,16,3.51,0,32,Early College,Junior
Alice Davis,14,0.34,1,53,Bio Med,Sophomore
Sam Brown,15,2.57,1,55,Marketing,Freshman
Vihaan Wilson,14,4.39,0,27,Computer Science,Senior
Sam Williams,18,0.99,3,55,Marketing,Sophomore
Manny Lopez,17,1.87,2,10,Engineering,Freshman
Kelsey Martin,17,4.33,1,59,Computer Science,Freshman
Nate Williams,15,3.43,0,22,Early College,Sophomore
Cal Johnson,19,2.3,2,43,Engineering,Senior
Cal Garcia,14,3.54,3,56,Early Childhood Education,Senior
Kelsey Gonzalez,16,1.63,2,27,Criminal Justice,Junior
Kelsey Miller,16,4.16,3,58,Business,Senior
Alice Taylor,19,3.74,1,44,Business,Sophomore
Cal Lopez,18,0.48,2,19,Bio Med,Sophomore
Sam Davis,17,2.56,1,35,Early Childhood Education,Senior
Abby Brown,15,1.07,1,11,Bio Med,Junior
Joe Lopez,14,2.82,2,58,Criminal Justice,Freshman
Azria Brown,14,0.56,1,54,Criminal Justice,Sophomore
Dutch Jones,17,0.66,0,9,Early College,Freshman
Dutch Johnson,15,3.76,0,41,Early College,Junior
Vihaan Jones,14,1.78,2,32,Marketing,Sophomore
Sujay Thomas,18,0.48,3,17,Bio Med,Freshman
Abby Wilson,15,0.9,2,57,Early College,Sophomore
Avery Martinez,14,2.66,1,28,Culinary,Senior
Manny Wilson,19,0.73,0,15,Bio Med,Senior
Kelsey Moore,18,4.11,0,41,Criminal Justice,Junior
Joe Jackson,14,3.03,3,42,Early Childhood Education,Senior
Gavin Hernandez,17,3.55,3,49,Early Childhood Education,Sophomore
Cal Taylor,15,0.9,3,60,Bio Med,Junior
Vihaan Wilson,15,3.71,0,23,Computer Science,Freshman
Nate Smith,16,4.05,3,47,Business,Junior
Kelsey Wilson,16,1.94,2,49,Engineering,Senior
Manny Miller,16,3.85,3,10,Engineering,Senior
Kelsey Brown,14,3.88,0,41,Early Childhood Education,Freshman
Sujay Johnson,14,3.7,0,43,Culinary,Freshman
Nate Martinez,19,2.33,0,3,Bio Med,Junior
Gavin Brown,16,4.3,2,56,Engineering,Freshman
Avery Rodriguez,16,1.71,0,6,Culinary,Junior
Azria Hernandez,16,2.68,3,39,Marketing,Senior
Manny Anderson,16,0.59,0,5,Early Childhood Education,Freshman
Gavin Jackson,19,4.38,0,19,Culinary,Senior
Abby Williams,14,0.45,2,2,Criminal Justice,Freshman
Azria Lopez,19,3.59,3,51,Bio Med,Freshman
Emm Jackson,18,3.83,0,2,Culinary,Senior
Joe Jackson,17,2.09,0,32,Early Childhood Education,Sophomore
Sam Miller,14,0.49,0,5,Bio Med,Freshman
Dutch Taylor,16,4.14,0,28,Bio Med,Senior
Cal Martin,19,1.15,2,50,Marketing,Freshman
Nate Davis,18,3.29,3,39,Early College,Sophomore
Sujay Hernandez,17,2.68,0,13,Criminal Justice,Junior
Sam Wilson,17,0.45,1,17,Criminal Justice,Sophomore
Kelsey Rodriguez,16,0.87,2,42,Culinary,Junior
Josh Rodriguez,14,2.6,3,45,Early Childhood Education,Junior
Josh Lopez,19,4.38,0,42,Bio Med,Junior
Josh Williams,19,1.97,3,5,Bio Med,Senior
Nate Martinez,17,4.34,2,52,Culinary,Junior
Avery Jackson,17,4.26,0,38,Bio Med,Junior
Kelsey Thomas,17,1.4,0,31,Marketing,Junior
Vihaan Martinez,19,2.32,1,53,Construction,Freshman
Dutch Brown,16,3.76,3,1,Culinary,Junior
Dutch Jones,17,2.51,0,16,Marketing,Senior
Vihaan Hernandez,15,2.75,2,26,Construction,Freshman
Emm Martin,19,1.97,0,51,Early Childhood Education,Freshman
Emm Martin,17,0.37,3,7,Marketing,Freshman
Azria Wilson,14,0.36,2,42,Marketing,Freshman
Joe Davis,17,3.88,0,41,Culinary,Sophomore
Avery Wilson,17,0.43,3,20,Computer Science,Senior
Abby Gonzalez,19,0.34,1,21,Construction,Freshman
Azria Wilson,15,3.14,3,13,Early College,Senior
Azria Rodriguez,17,1.23,3,2,Computer Science,Sophomore
Manny Martin,19,4.02,2,12,Early College,Senior
Kelsey Garcia,14,4.24,3,27,Culinary,Sophomore
Joe Miller,17,1.6,1,33,Bio Med,Sophomore
Joe Davis,16,3.31,0,47,Business,Junior
Joe Martinez,17,0.47,2,12,Culinary,Sophomore
Azria Moore,14,2.79,1,57,Engineering,Senior
Abby Anderson,18,4.1,3,38,Early Childhood Education,Junior
Joe Davis,18,0.77,1,48,Culinary,Junior
Nate Gonzalez,18,1.83,0,30,Early College,Sophomore
Dutch Taylor,18,0.96,3,49,Bio Med,Sophomore
Manny Wilson,17,0.43,0,17,Early Childhood Education,Freshman
Nate Smith,15,1.62,0,57,Marketing,Sophomore
Sujay Smith,16,1.34,2,33,Business,Sophomore
Vihaan Anderson,18,4.32,1,4,Culinary,Junior
Sam Davis,15,3.45,3,37,Bio Med,Senior
Joe Williams,19,0.59,0,45,Business,Sophomore
Avery Miller,15,4.0,0,11,Early Childhood Education,Junior
Alice Williams,14,2.6,2,54,Computer Science,Freshman
Emm Davis,19,1.07,2,40,Bio Med,Freshman
Avery Taylor,17,2.99,3,23,Culinary,Junior
Cal Williams,19,1.28,1,5,Construction,Junior
Dutch Anderson,18,0.67,1,31,Early College,Sophomore
Sujay Wilson,16,2.87,0,7,Computer Science,Freshman
Sam Taylor,18,4.34,2,1,Marketing,Senior
Joe Smith,16,3.97,0,8,Computer Science,Sophomore
Josh Lopez,15,1.72,2,40,Culinary,Sophomore
Sujay Wilson,16,1.92,3,19,Bio Med,Senior
Emm Williams,18,4.0,2,39,Marketing,Junior
Cal Johnson,19,1.6,2,12,Business,Senior
Sujay Gonzalez,16,1.68,3,38,Early Childhood Education,Junior
Gavin Moore,18,2.36,1,39,Business,Freshman
Abby Moore,17,3.27,0,52,Engineering,Sophomore
Joe Thomas,16,2.06,2,44,Criminal Justice,Sophomore
Sujay Johnson,18,0.48,3,60,Marketing,Junior
Alice Anderson,18,0.91,1,36,Marketing,Sophomore
Sujay Jackson,17,3.39,3,24,Engineering,Junior
Joe Jackson,14,3.62,3,14,Business,Senior
Abby Rodriguez,19,1.86,0,6,Culinary,Senior
Avery Garcia,19,2.32,3,34,Construction,Sophomore
Joe Gonzalez,15,2.29,1,31,Early College,Junior
Avery Rodriguez,18,0.96,2,9,Marketing,Freshman
Vihaan Smith,17,1.99,0,42,Criminal Justice,Senior
Manny Taylor,15,2.28,0,25,Construction,Junior
Dutch Williams,14,1.27,3,43,Bio Med,Junior
Cal Miller,16,2.29,0,57,Construction,Sophomore
Josh Smith,19,0.74,3,33,Business,Junior
Sam Martinez,18,4.08,1,13,Engineering,Senior
Manny Jones,17,1.69,1,49,Culinary,Sophomore
Joe Jackson,19,2.66,3,0,Construction,Sophomore
Gavin Garcia,16,0.49,2,43,Early Childhood Education,Senior
Vihaan Williams,17,1.24,3,9,Early Childhood Education,Junior
Avery Brown,17,4.26,2,34,Engineering,Senior
Sam Garcia,16,0.35,2,6,Business,Senior
Vihaan Brown,16,0.85,3,21,Construction,Freshman
Manny Thomas,18,3.53,0,60,Marketing,Senior
Avery Anderson,19,1.32,1,39,Culinary,Senior
Vihaan Williams,19,1.12,3,33,Culinary,Junior
Cal Brown,15,1.4,0,24,Business,Senior
Avery Thomas,19,1.42,0,13,Business,Junior
Nate Johnson,15,0.57,0,37,Engineering,Senior
Sujay Williams,14,0.66,1,48,Early College,Freshman
Vihaan Gonzalez,15,1.61,0,7,Computer Science,Sophomore
Sam Thomas,17,4.12,0,41,Business,Junior
Abby Rodriguez,17,2.66,2,53,Bio Med,Sophomore
Avery Davis,18,0.86,3,47,Culinary,Freshman
Nate Davis,15,0.6,1,40,Construction,Freshman
Sujay Martin,18,0.7,2,7,Marketing,Senior
Azria Taylor,18,0.62,0,39,Construction,Senior
Josh Thomas,16,1.79,2,1,Early College,Freshman
Dutch Johnson,18,1.11,3,35,Computer Science,Senior
Azria Moore,17,3.38,2,22,Marketing,Junior
Nate Davis,16,1.34,2,22,Business,Freshman
Sam Moore,14,1.23,0,5,Early College,Freshman
Joe Martin,14,0.54,1,53,Culinary,Junior
Nate Jackson,19,1.97,3,7,Early Childhood Education,Sophomore
Gavin Jackson,18,2.87,1,32,Bio Med,Freshman
Gavin Martin,18,2.26,0,51,Computer Science,Junior
Abby Martin,14,2.37,1,53,Early College,Junior
Cal Moore,14,3.0,0,47,Marketing,Junior
Gavin Gonzalez,15,2.28,3,41,Early College,Junior
Cal Jones,16,0.39,0,55,Early Childhood Education,Sophomore
Alice Garcia,19,4.37,3,38,Bio Med,Sophomore
Sam Jackson,15,0.43,0,42,Engineering,Senior
Gavin Wilson,19,2.87,1,50,Marketing,Sophomore
Kelsey Brown,18,1.5,3,38,Engineering,Freshman
Sujay Davis,18,1.84,2,5,Culinary,Freshman
Manny Hernandez,19,0.37,3,55,Business,Senior
Joe Lopez,16,3.65,0,52,Construction,Senior
Abby Jones,18,2.13,0,20,Engineering,Junior
Vihaan Anderson,16,2.54,1,59,Culinary,Sophomore
Sujay Smith,19,4.17,3,53,Business,Senior
Vihaan Garcia,17,3.63,2,17,Early Childhood Education,Junior
Vihaan Miller,18,3.74,1,32,Engineering,Junior
Gavin Martin,19,2.1,0,60,Engineering,Junior
Nate Wilson,18,0.34,0,31,Construction,Senior
Azria Taylor,18,1.75,3,13,Computer Science,Freshman
Josh Moore,17,0.37,3,54,Construction,Senior
Manny Johnson,14,0.44,3,2,Early College,Freshman
Azria Wilson,15,4.04,1,17,Construction,Sophomore
Nate Jones,15,2.87,2,2,Bio Med,Freshman
Alice Williams,19,2.0,0,0,Business,Freshman
Manny Wilson,15,0.67,3,57,Culinary,Senior
Kelsey Smith,15,2.58,1,50,Business,Junior
Gavin Thomas,17,1.71,1,20,Early Childhood Education,Junior
Manny Martin,14,0.32,2,24,Culinary,Freshman
Joe Brown,18,0.98,2,21,Engineering,Sophomore
Sam Miller,17,3.53,3,9,Bio Med,Sophomore
Sujay Jones,15,4.12,3,22,Early College,Freshman
Joe Hernandez,16,1.05,1,6,Early Childhood Education,Junior
Sujay Martinez,14,1.7,0,12,Marketing,Senior
Nate Jones,16,2.42,2,30,Engineering,Sophomore
Dutch Martinez,17,2.88,0,27,Computer Science,Freshman
Avery Davis,14,1.78,0,6,Computer Science,Sophomore
Kelsey Miller,16,2.9,2,20,Early Childhood Education,Sophomore
Dutch Brown,17,1.21,2,36,Bio Med,Sophomore
Sujay Gonzalez,16,3.88,3,30,Culinary,Senior
Sujay Williams,18,1.03,3,49,Construction,Freshman
Abby Garcia,14,4.08,2,32,Construction,Junior
Abby Jackson,16,3.75,0,58,Bio Med,Senior
Emm Anderson,16,2.3,2,42,Bio Med,Freshman
Sam Thomas,14,2.42,1,23,Business,Sophomore
Sam Thomas,15,0.68,3,4,Business,Junior
Vihaan Garcia,18,0.97,1,34,Culinary,Sophomore
Gavin Davis,18,3.15,1,31,Criminal Justice,Freshman
Abby Anderson,18,0.36,0,36,Culinary,Junior
Vihaan Garcia,16,2.88,1,41,Business,Freshman
Alice Jackson,15,1.77,3,26,Construction,Senior
Emm Moore,15,0.54,3,32,Early Childhood Education,Senior
Gavin Anderson,18,3.33,2,34,Marketing,Senior
Joe Martinez,15,1.85,3,59,Bio Med,Senior
Emm Anderson,15,2.49,3,0,Engineering,Sophomore
Manny Rodriguez,14,3.76,0,59,Bio Med,Freshman
Cal Miller,15,2.79,3,50,Early College,Senior
Alice Hernandez,15,0.67,0,7,Bio Med,Sophomore
Abby Anderson,17,3.83,1,14,Construction,Freshman
Sujay Taylor,18,2.49,2,17,Marketing,Junior
Gavin Thomas,19,3.71,0,42,Business,Senior
Cal Miller,17,3.57,2,18,Criminal Justice,Junior
Vihaan Martinez,15,0.57,0,5,Engineering,Junior
Gavin Anderson,18,3.78,0,11,Marketing,Senior
Cal Gonzalez,16,2.76,2,5,Business,Sophomore
Gavin Williams,16,1.89,1,52,Criminal Justice,Junior
Joe Smith,17,4.07,3,4,Culinary,Freshman
Alice Davis,17,3.12,0,10,Early College,Sophomore
Sam Johnson,17,2.03,2,14,Construction,Sophomore
Sam Jackson,16,3.7,0,49,Computer Science,Freshman
Avery Moore,16,3.05,0,34,Construction,Freshman
Gavin Brown,17,1.3,1,55,Engineering,Freshman
Gavin Brown,16,0.92,2,7,Computer Science,Junior
Manny Anderson,17,2.73,2,21,Criminal Justice,Junior
Emm Rodriguez,15,1.59,3,4,Marketing,Sophomore
Gavin Brown,19,1.45,1,36,Early College,Sophomore
Josh Williams,15,3.66,3,8,Engineering,Junior
Manny Davis,14,3.08,3,13,Engineering,Sophomore
Nate Anderson,19,0.52,3,57,Criminal Justice,Junior
Avery Thomas,17,0.31,2,49,Construction,Senior
Josh Hernandez,19,2.11,0,37,Computer Science,Senior
Nate Moore,15,1.7,2,26,Computer Science,Sophomore
Abby Gonzalez,19,3.82,2,47,Construction,Senior
Joe Taylor,17,4.24,1,5,Culinary,Freshman
Josh Martinez,17,1.59,1,52,Bio Med,Junior
Nate Wilson,19,4.07,3,54,Engineering,Senior
Vihaan Miller,19,2.74,0,57,Criminal Justice,Junior
Alice Anderson,16,4.04,3,59,Engineering,Freshman
Dutch Anderson,17,2.88,2,34,Bio Med,Freshman
Avery Williams,14,2.89,1,44,Culinary,Junior
Manny Martin,16,0.99,2,34,Construction,Freshman
Nate Davis,16,3.75,0,8,Bio Med,Sophomore
Kelsey Davis,14,3.33,0,10,Construction,Sophomore
Cal Miller,18,1.32,2,3,Culinary,Sophomore
Dutch Martin,15,2.74,1,23,Early College,Freshman
Abby Hernandez,15,0.7,3,37,Early College,Sophomore
Manny Wilson,16,0.62,2,45,Marketing,Freshman
Kelsey Miller,16,0.57,1,7,Engineering,Junior
Abby Moore,16,0.69,3,25,Construction,Senior
Manny Gonzalez,14,0.86,2,19,Engineering,Senior
Manny Miller,19,0.45,2,50,Criminal Justice,Freshman
Nate Davis,17,0.76,0,38,Business,Junior
Kelsey Davis,16,2.84,0,35,Bio Med,Senior
Avery Jones,16,3.57,1,8,Criminal Justice,Sophomore
Azria Thomas,14,3.58,3,19,Business,Senior
Vihaan Brown,14,2.33,2,15,Early College,Senior
Alice Anderson,15,2.76,3,10,Computer Science,Sophomore
Vihaan Taylor,15,2.15,0,4,Early Childhood Education,Freshman
Sujay Williams,15,3.52,0,47,Early Childhood Education,Junior
Manny Hernandez,14,0.71,3,3,Construction,Junior
Alice Williams,14,3.31,3,20,Early College,Junior
Manny Anderson,14,3.57,3,22,Computer Science,Junior
Sujay Davis,14,4.18,0,43,Construction,Junior
Cal Rodriguez,16,0.9,1,20,Computer Science,Junior
Gavin Rodriguez,18,0.88,1,44,Construction,Sophomore
Sam Williams,19,3.23,0,19,Bio Med,Senior
Nate Martinez,16,0.34,2,12,Computer Science,Sophomore
Joe Jones,16,1.84,3,3,Culinary,Sophomore
Abby Taylor,17,1.28,2,29,Engineering,Sophomore
Cal Martin,14,0.33,1,4,Engineering,Senior
Dutch Jones,19,4.12,2,29,Early Childhood Education,Senior
Joe Taylor,17,1.11,1,18,Engineering,Freshman
Sam Thomas,17,2.21,1,19,Culinary,Senior
Vihaan Taylor,19,0.41,2,1,Early College,Senior
Kelsey Rodriguez,18,0.34,1,17,Culinary,Senior
Sam Rodriguez,14,1.11,0,41,Engineering,Freshman
Sujay Thomas,14,1.55,2,3,Engineering,Sophomore
Josh Williams,17,0.32,1,6,Bio Med,Sophomore
Cal Jackson,14,3.02,1,41,Culinary,Freshman
Alice Williams,16,2.43,3,43,Bio Med,Junior
Avery Moore,16,3.47,1,12,Bio Med,Senior
Gavin Taylor,17,1.55,3,23,Business,Senior
Sam Davis,17,1.18,0,49,Business,Senior
Abby Thomas,15,1.86,1,34,Business,Junior
Vihaan Jones,15,2.01,2,33,Early Childhood Education,Junior
Dutch Martin,17,3.13,1,20,Early Childhood Education,Junior
Joe Anderson,14,0.75,1,17,Criminal Justice,Sophomore
Avery Hernandez,18,1.34,3,39,Culinary,Junior
Abby Moore,14,0.45,0,19,Engineering,Sophomore
Sam Martinez,16,1.8,1,56,Culinary,Freshman
Sam Wilson,17,2.1,0,37,Criminal Justice,Junior
Josh Jackson,18,3.64,3,26,Marketing,Junior
Dutch Wilson,17,4.17,3,34,Engineering,Junior
Josh Miller,18,0.66,0,34,Computer Science,Freshman
Kelsey Thomas,18,2.54,0,40,Culinary,Senior
Nate Thomas,18,1.73,0,48,Early College,Junior
Emm Martinez,15,4.2,1,43,Business,Sophomore
Gavin Wilson,18,0.33,2,32,Early Childhood Education,Junior
Abby Jones,19,0.56,0,25,Marketing,Junior
Cal Johnson,14,3.71,0,7,Criminal Justice,Sophomore
Abby Lopez,16,3.03,0,29,Early Childhood Education,Freshman
Nate Jones,17,2.45,0,51,Bio Med,Junior
Joe Jones,14,1.45,1,51,Computer Science,Sophomore
Avery Lopez,15,4.15,2,30,Early College,Junior
Sujay Gonzalez,17,3.74,3,31,Criminal Justice,Senior
Avery Moore,19,3.39,0,43,Construction,Sophomore
Alice Smith,18,2.09,0,7,Early College,Junior
Manny Martin,19,2.96,1,22,Computer Science,Sophomore
Abby Moore,14,0.64,2,40,Early Childhood Education,Sophomore
Nate Williams,17,2.43,0,58,Bio Med,Freshman
Alice Taylor,15,2.38,1,55,Construction,Junior
Sam Martin,15,2.16,0,21,Criminal Justice,Sophomore
Kelsey Miller,14,1.85,1,4,Criminal Justice,Junior
Sam Hernandez,16,2.09,3,41,Construction,Sophomore
Manny Moore,18,2.89,0,6,Marketing,Sophomore
Avery Jones,14,2.69,1,56,Bio Med,Junior
Kelsey Brown,19,3.99,0,26,Business,Senior
Gavin Garcia,15,3.27,3,56,Marketing,Senior
Vihaan Davis,15,1.17,2,53,Culinary,Senior
Kelsey Smith,18,1.5,3,26,Criminal Justice,Junior
Kelsey Anderson,19,0.97,2,7,Marketing,Senior
Nate Martin,15,3.15,0,21,Culinary,Senior
Sujay Miller,19,2.79,3,43,Early College,Freshman
Joe Rodriguez,14,3.63,0,30,Culinary,Junior
Emm Johnson,14,2.65,1,30,Engineering,Junior
Abby Martin,16,2.24,2,8,Computer Science,Senior
