Name,Age,GPA,Credits Completed,Year,Pathway
Jane Moore,17,3.41,36,Senior,Bio Med
Alexis Manukyan,15,3.95,24,Junior,Bio Med
Jane Brown,17,1.81,27,Victory Lap,Early College
Marge Miller,17,3.21,27,Senior,Business
Kaden Manukyan,19,1.4,52,Junior,Criminal Justice
Jill Wilson,14,0.76,31,Senior,Bio Med
Roman Garcia,19,0.69,21,Senior,Criminal Justice
Keaton Willaims,14,2.84,46,Victory Lap,Criminal Justice
Keaton Garcia,18,4.29,57,Sophomore,Bio Med
Ben Willaims,19,1.64,32,Freshman,Early Childhood Education
Katerina Miller,14,1.29,16,Victory Lap,Business
Keaton Willaims,19,3.05,41,Junior,Culinary
Ben Fogarty,17,4.16,59,Senior,Computer Science
Emma Garcia,16,0.42,40,Freshman,Marketing
Roman Manukyan,19,1.49,38,Freshman,Early Childhood Education
Van Smith,14,3.27,38,Junior,Marketing
Alexis Anderson,19,3.01,56,Freshman,Marketing
Noah Fogarty,16,3.02,33,Sophomore,Bio Med
Eliana Manukyan,18,1.48,16,Senior,Bio Med
Roman Manukyan,19,0.43,10,Victory Lap,Construction
Kyan Moore,18,2.6,56,Senior,Culinary
Ben Anderson,17,2.47,28,Victory Lap,Engineering
Rachel Miller,14,3.64,58,Senior,Engineering
Joe Davis,15,3.8,48,Senior,Early College
Lisa Fogarty,18,3.48,21,Junior,Engineering
Van Willaims,15,0.49,17,Freshman,Criminal Justice
Aiden DeFreitas,16,3.5,17,Senior,Criminal Justice
Lucian Willaims,17,3.49,44,Senior,Engineering
Jane Wilson,14,3.92,50,Victory Lap,Marketing
Lucian Anderson,14,0.36,44,Freshman,Early College
Mac Wilson,18,0.6,11,Senior,Culinary
Emmy Foster,19,0.49,20,Victory Lap,Culinary
Jane Willaims,17,3.2,30,Freshman,Bio Med
Emmy Johnson,14,1.32,29,Sophomore,Business
Danielle Willaims,15,4.29,57,Junior,Criminal Justice
Andrew Brown,17,3.25,24,Freshman,Computer Science
Elijah DeFreitas,19,2.17,7,Freshman,Bio Med
Eliana Jones,19,3.04,52,Senior,Bio Med
Andrew Davis,15,1.4,52,Victory Lap,Marketing
Joe Smith,19,1.6,21,Senior,Business
Noah Moore,14,4.02,21,Senior,Bio Med
Katerina Brown,16,2.77,51,Senior,Bio Med
Eliana DeFreitas,14,2.74,38,Freshman,Criminal Justice
Jane Anderson,14,2.44,18,Junior,Engineering
Jill Davis,17,3.18,21,Freshman,Culinary
Jill Foster,17,3.47,54,Victory Lap,Early Childhood Education
Roman Garcia,17,1.82,55,Freshman,Early Childhood Education
Keaton DeFreitas,15,2.96,26,Junior,Bio Med
Mac Brown,16,1.48,17,Victory Lap,Early College
Benedict Anderson,14,2.8,37,Freshman,Construction
Eliana Johnson,17,1.39,50,Sophomore,Criminal Justice
Lucian Garcia,19,3.91,16,Junior,Marketing
Lisa Johnson,19,0.43,54,Sophomore,Business
Elijah Fogarty,19,3.77,51,Sophomore,Engineering
Aiden Manukyan,14,3.98,25,Sophomore,Bio Med
Eliana Miller,17,2.61,8,Victory Lap,Criminal Justice
Andrew Manukyan,19,2.85,29,Senior,Early Childhood Education
Kyan Davis,19,1.57,40,Victory Lap,Engineering
Aiden Wilson,19,2.84,37,Sophomore,Criminal Justice
Andrew Brown,17,2.37,43,Freshman,Computer Science
Lucian DeFreitas,16,3.12,50,Junior,Culinary
Elijah Wilson,14,2.04,51,Victory Lap,Early College
Alexis Johnson,18,2.56,49,Junior,Culinary
Van Davis,14,2.4,3,Sophomore,Criminal Justice
Roman Willaims,16,0.69,48,Sophomore,Bio Med
Lisa Fogarty,17,1.79,35,Junior,Bio Med
Andrew Brown,16,0.72,0,Senior,Early Childhood Education
Alexis Miller,17,1.41,19,Victory Lap,Business
Noah Moore,17,2.05,24,Freshman,Computer Science
Emmy Davis,19,3.88,1,Sophomore,Computer Science
Lisa Davis,15,1.89,9,Junior,Early College
Jill Jones,14,0.6,40,Victory Lap,Business
Elijah Anderson,16,1.1,55,Junior,Computer Science
Mac Jones,15,0.98,18,Freshman,Computer Science
Jill Miller,15,0.53,21,Victory Lap,Bio Med
Danielle Fogarty,14,4.06,28,Sophomore,Culinary
Jane Garcia,15,2.0,13,Sophomore,Business
Emmy Foster,17,0.81,57,Freshman,Computer Science
Eliana Smith,15,2.02,35,Sophomore,Early Childhood Education
Andrew DeFreitas,19,0.93,50,Senior,Culinary
Lucian Davis,19,0.98,50,Senior,Marketing
Alexis Foster,16,0.43,38,Victory Lap,Computer Science
Roman Johnson,14,1.28,33,Sophomore,Construction
Jill Foster,16,0.87,25,Victory Lap,Criminal Justice
Aiden Jones,18,2.48,27,Senior,Construction
Benedict Smith,16,3.05,22,Victory Lap,Bio Med
Roman Anderson,19,1.61,42,Freshman,Early College
Emma Willaims,17,2.24,37,Sophomore,Culinary
Alexis Johnson,15,1.03,32,Senior,Marketing
Andrew Manukyan,18,1.94,49,Junior,Early Childhood Education
Joe Moore,18,2.88,20,Senior,Criminal Justice
Aiden Jones,14,4.12,37,Sophomore,Construction
Elijah Johnson,16,2.79,1,Freshman,Culinary
Benedict Wilson,18,3.41,49,Senior,Early Childhood Education
Eliana Miller,18,1.82,17,Sophomore,Construction
Marge Fogarty,19,3.73,54,Sophomore,Bio Med
Keaton Johnson,18,3.55,38,Sophomore,Culinary
Eliana Smith,19,3.16,7,Victory Lap,Bio Med
Ben Garcia,18,1.45,20,Sophomore,Business
Katerina Jones,17,2.14,11,Sophomore,Business
Noah DeFreitas,15,1.63,6,Freshman,Criminal Justice
Eliana Foster,17,3.04,56,Sophomore,Culinary
Roman Manukyan,18,2.05,17,Freshman,Early College
Emmy DeFreitas,15,2.52,59,Victory Lap,Construction
Kaden Smith,15,0.57,12,Sophomore,Culinary
Lisa Moore,16,1.1,7,Senior,Construction
Marge Brown,16,3.38,37,Junior,Business
Andrew Garcia,17,2.16,27,Victory Lap,Business
Rachel DeFreitas,18,3.04,60,Senior,Culinary
Andrew Fogarty,18,2.77,6,Junior,Engineering
Benedict Moore,15,3.49,22,Senior,Early College
Eliana Fogarty,18,1.66,46,Freshman,Engineering
Roman Garcia,17,2.58,43,Senior,Computer Science
Kaden DeFreitas,19,3.18,13,Sophomore,Marketing
Danielle DeFreitas,19,0.99,44,Victory Lap,Culinary
Van Fogarty,17,1.72,60,Senior,Early Childhood Education
Eliana Willaims,17,1.96,46,Senior,Culinary
Eliana Johnson,15,1.01,23,Freshman,Construction
Emma Jones,14,4.16,37,Senior,Construction
Jane Manukyan,17,1.86,22,Senior,Bio Med
Jill Davis,19,3.89,38,Junior,Construction
Roman Brown,17,3.64,4,Senior,Marketing
Jane Miller,19,1.97,33,Senior,Criminal Justice
Ben Manukyan,19,2.69,60,Freshman,Engineering
Alexis Wilson,15,0.84,31,Senior,Business
Van Fogarty,17,1.98,0,Freshman,Engineering
Katerina Smith,17,3.04,16,Sophomore,Early College
Ben Moore,19,2.79,57,Senior,Computer Science
Rachel Brown,17,0.67,48,Freshman,Criminal Justice
Roman Davis,15,1.47,4,Victory Lap,Bio Med
Andrew Johnson,19,1.14,45,Junior,Construction
Lucian Miller,19,0.75,57,Junior,Culinary
Emmy Jones,18,0.78,25,Senior,Business
Rachel Moore,19,0.51,51,Senior,Criminal Justice
Roman Moore,17,1.52,58,Victory Lap,Marketing
Mac Jones,17,1.56,52,Junior,Business
Kyan Miller,18,2.18,8,Sophomore,Business
Van Foster,19,2.85,18,Victory Lap,Bio Med
Lucian Smith,17,3.85,24,Senior,Construction
Elijah DeFreitas,15,2.25,43,Junior,Business
Aiden Fogarty,14,2.52,17,Freshman,Marketing
Aiden Garcia,19,0.75,59,Freshman,Bio Med
Mac Miller,18,2.22,46,Junior,Criminal Justice
Lisa Smith,19,3.7,13,Junior,Criminal Justice
Joe Anderson,17,3.65,27,Sophomore,Construction
Keaton Moore,19,2.89,39,Freshman,Criminal Justice
Ben Johnson,15,1.87,45,Freshman,Early College
Alexis Fogarty,17,2.83,39,Senior,Bio Med
Emmy Miller,14,4.04,16,Victory Lap,Early Childhood Education
Lucian Manukyan,18,1.86,33,Victory Lap,Engineering
Rachel Jones,15,2.0,33,Victory Lap,Engineering
Alexis Garcia,15,3.7,13,Freshman,Criminal Justice
Ben Manukyan,15,3.66,16,Freshman,Criminal Justice
Emma Smith,16,2.89,40,Junior,Criminal Justice
Rachel Garcia,15,0.64,34,Senior,Early Childhood Education
Andrew Jones,16,2.38,51,Senior,Early Childhood Education
Emmy Johnson,14,2.92,18,Junior,Early College
Roman Manukyan,18,2.76,53,Junior,Early Childhood Education
Jane Jones,14,0.44,25,Freshman,Bio Med
Elijah Jones,15,0.49,1,Freshman,Early College
Alexis Garcia,15,2.07,17,Victory Lap,Criminal Justice
Roman DeFreitas,14,2.36,2,Sophomore,Computer Science
Jane Jones,17,0.76,26,Freshman,Marketing
Danielle Smith,17,3.14,58,Victory Lap,Culinary
Emma Wilson,18,2.1,33,Sophomore,Bio Med
Mac Manukyan,17,1.3,23,Junior,Marketing
Ben Smith,17,1.87,40,Victory Lap,Criminal Justice
Alexis Manukyan,18,0.31,50,Victory Lap,Culinary
Keaton Willaims,14,3.25,35,Freshman,Early College
Kaden Foster,19,2.26,37,Junior,Marketing
Lisa Manukyan,17,1.46,42,Sophomore,Business
Ben Brown,19,3.04,24,Sophomore,Marketing
Elijah Foster,19,3.47,32,Sophomore,Early College
Eliana Miller,19,2.75,24,Junior,Bio Med
Kyan Fogarty,15,2.28,53,Senior,Early College
Marge Willaims,17,2.61,60,Victory Lap,Computer Science
Benedict Smith,15,1.94,12,Sophomore,Business
Emmy Johnson,19,1.7,22,Sophomore,Construction
Roman DeFreitas,15,1.08,60,Freshman,Bio Med
Emma Moore,14,0.54,4,Victory Lap,Culinary
Kyan Miller,17,1.96,25,Senior,Engineering
Joe Smith,16,1.56,9,Sophomore,Culinary
Aiden Wilson,17,1.46,0,Sophomore,Marketing
Roman Johnson,19,3.42,40,Junior,Early Childhood Education
Jill Miller,17,2.44,29,Freshman,Business
Jill Moore,14,3.64,41,Junior,Early College
Kyan Davis,15,2.35,13,Junior,Bio Med
Rachel Jones,14,2.66,32,Junior,Bio Med
Ben Smith,17,2.27,39,Senior,Early College
Emma Wilson,19,1.17,27,Freshman,Engineering
Noah Jones,16,1.08,51,Victory Lap,Criminal Justice
Danielle DeFreitas,14,0.32,56,Victory Lap,Engineering
Kaden Johnson,17,1.61,29,Junior,Early College
Katerina Johnson,18,3.5,5,Junior,Computer Science
Andrew Moore,17,0.38,45,Senior,Early Childhood Education
Mac Garcia,14,0.59,15,Freshman,Construction
Kaden Foster,15,3.85,44,Victory Lap,Early College
Kyan Jones,18,2.75,14,Junior,Computer Science
Jill Jones,18,3.03,32,Senior,Criminal Justice
Marge Wilson,18,3.6,1,Senior,Early College
Andrew Brown,18,1.73,54,Junior,Early Childhood Education
Lucian Moore,16,3.96,28,Freshman,Bio Med
Lucian Brown,17,3.29,13,Freshman,Bio Med
Alexis DeFreitas,19,1.74,4,Senior,Marketing
Noah Wilson,14,1.82,4,Senior,Bio Med
Kyan Fogarty,15,0.89,2,Senior,Construction
Emmy Johnson,16,0.62,3,Victory Lap,Early College
Noah Miller,16,1.26,8,Sophomore,Computer Science
Emma DeFreitas,17,2.53,60,Senior,Engineering
Danielle Smith,16,0.75,53,Freshman,Engineering
Emmy Miller,16,1.15,57,Sophomore,Business
Andrew Foster,17,3.53,7,Junior,Criminal Justice
Danielle Smith,18,3.84,34,Senior,Computer Science
Eliana Smith,14,1.36,52,Freshman,Computer Science
Van Willaims,18,0.89,38,Senior,Early Childhood Education
Jill Anderson,19,3.7,19,Junior,Construction
Jill Foster,19,1.92,17,Freshman,Culinary
Jane Willaims,14,4.01,29,Sophomore,Culinary
Marge Wilson,14,3.93,12,Junior,Early Childhood Education
Aiden Wilson,17,0.73,38,Sophomore,Bio Med
Roman Miller,19,1.78,28,Junior,Marketing
Ben Brown,17,2.07,46,Sophomore,Early College
Aiden Foster,15,3.58,21,Freshman,Culinary
Noah Garcia,18,2.46,58,Senior,Early College
Benedict Smith,16,3.49,33,Junior,Marketing
Rachel Smith,16,1.67,31,Junior,Marketing
Joe Willaims,15,3.45,40,Victory Lap,Early College
Rachel Wilson,15,0.94,56,Junior,Marketing
Jill DeFreitas,17,2.11,8,Junior,Bio Med
Ben Manukyan,17,1.85,8,Freshman,Engineering
Emmy Fogarty,16,3.45,52,Freshman,Early Childhood Education
Van DeFreitas,19,2.27,29,Freshman,Early Childhood Education
Ben Davis,19,2.16,23,Sophomore,Construction
Elijah Miller,15,1.31,42,Junior,Culinary
Katerina Brown,17,4.3,29,Freshman,Engineering
Kyan Brown,19,4.0,0,Sophomore,Engineering
Joe Miller,15,0.61,1,Junior,Engineering
Jane Willaims,15,0.32,43,Sophomore,Culinary
Danielle Miller,18,2.66,17,Senior,Early College
Danielle Foster,19,3.41,16,Junior,Culinary
Jane Fogarty,14,0.37,27,Freshman,Computer Science
Andrew Jones,16,2.16,30,Sophomore,Criminal Justice
Kaden Davis,14,3.53,52,Senior,Bio Med
Joe Foster,17,3.61,39,Freshman,Early College
Keaton Smith,15,2.99,56,Freshman,Business
Joe Davis,18,0.61,4,Freshman,Business
Alexis Foster,16,0.35,44,Freshman,Marketing
Katerina DeFreitas,18,2.48,34,Freshman,Early College
Kyan Moore,19,2.48,10,Freshman,Early College
Danielle Foster,14,2.54,56,Victory Lap,Marketing
Rachel Johnson,15,3.01,18,Victory Lap,Computer Science
Eliana Smith,18,3.11,57,Junior,Engineering
Jane Willaims,15,1.8,24,Freshman,Early College
Keaton Manukyan,15,0.94,52,Victory Lap,Criminal Justice
Jane Smith,18,2.93,16,Sophomore,Early College
Danielle Johnson,17,3.91,54,Freshman,Early College
Van Brown,16,1.84,12,Freshman,Marketing
Elijah Foster,18,1.71,32,Victory Lap,Bio Med
Van Fogarty,15,2.88,52,Victory Lap,Marketing
Elijah Davis,15,1.13,33,Junior,Marketing
Andrew Anderson,14,2.48,36,Freshman,Early College
Keaton Wilson,16,3.32,3,Sophomore,Bio Med
Mac Moore,14,3.51,46,Junior,Business
Joe Wilson,15,0.4,45,Freshman,Engineering
Keaton DeFreitas,15,2.87,23,Junior,Bio Med
Katerina Fogarty,16,0.99,38,Senior,Engineering
Emmy Johnson,19,1.96,51,Freshman,Bio Med
Keaton Fogarty,17,2.21,32,Junior,Criminal Justice
Marge Johnson,18,0.67,34,Freshman,Computer Science
Aiden Brown,19,4.1,41,Sophomore,Construction
Jill Manukyan,17,2.48,30,Senior,Computer Science
Aiden Johnson,19,3.81,58,Freshman,Early Childhood Education
Rachel Jones,17,4.0,9,Sophomore,Marketing
Emma Moore,15,1.18,21,Sophomore,Business
Alexis Anderson,19,1.03,44,Senior,Culinary
Kaden Foster,14,1.46,50,Victory Lap,Computer Science
Alexis Manukyan,18,2.24,34,Victory Lap,Bio Med
Joe Miller,17,1.98,2,Sophomore,Early College
Kaden Foster,17,3.05,57,Victory Lap,Early Childhood Education
Van Fogarty,14,4.25,30,Senior,Culinary
Marge Jones,19,3.46,33,Victory Lap,Early College
Ben Jones,18,3.16,55,Freshman,Marketing
Lucian Moore,16,0.62,3,Victory Lap,Early Childhood Education
Elijah Moore,17,0.49,54,Sophomore,Culinary
Rachel Foster,16,3.13,29,Freshman,Computer Science
Emmy Johnson,17,1.39,59,Victory Lap,Engineering
Joe Willaims,18,3.46,53,Victory Lap,Business
Kaden Garcia,19,4.03,6,Junior,Engineering
Mac Fogarty,19,4.15,37,Sophomore,Criminal Justice
Marge Fogarty,14,2.46,6,Senior,Marketing
Ben Wilson,18,2.3,53,Senior,Computer Science
Jane Fogarty,17,2.2,26,Junior,Early College
Rachel Garcia,14,1.58,38,Victory Lap,Construction
Rachel Johnson,15,2.37,44,Junior,Early College
Kaden Davis,18,3.67,1,Senior,Culinary
Roman Miller,14,1.49,29,Junior,Early Childhood Education
Roman Willaims,18,0.44,37,Sophomore,Criminal Justice
Emma Miller,15,3.61,36,Sophomore,Early College
Jane Garcia,18,1.4,55,Junior,Business
Lisa DeFreitas,14,1.15,44,Freshman,Marketing
Katerina Moore,14,1.5,56,Sophomore,Business
Emmy Garcia,19,2.96,22,Senior,Culinary
Joe Fogarty,18,3.04,35,Senior,Marketing
Lucian Jones,14,4.14,4,Freshman,Engineering
Noah Johnson,17,3.23,49,Senior,Early Childhood Education
Katerina Brown,18,3.75,50,Sophomore,Engineering
Benedict Smith,17,4.06,2,Freshman,Business
Lucian Johnson,19,0.82,20,Sophomore,Culinary
Keaton Garcia,17,2.23,20,Senior,Bio Med
Noah Fogarty,18,3.58,19,Junior,Business
Kyan Brown,16,1.87,0,Victory Lap,Engineering
Lisa Miller,14,1.43,34,Senior,Culinary
Jane Brown,14,2.48,43,Freshman,Engineering
Roman Anderson,19,0.66,54,Victory Lap,Computer Science
Joe Garcia,16,3.02,13,Sophomore,Computer Science
Emmy Foster,16,3.42,34,Freshman,Marketing
Kaden Manukyan,18,1.03,36,Senior,Engineering
Keaton Brown,19,3.6,58,Sophomore,Engineering
Lisa DeFreitas,17,1.15,49,Freshman,Engineering
Danielle Willaims,19,1.57,5,Senior,Marketing
Kaden Foster,15,3.3,11,Victory Lap,Engineering
Kaden Smith,16,2.38,11,Sophomore,Construction
Lucian Johnson,14,1.37,1,Sophomore,Culinary
Lisa Willaims,16,1.99,4,Victory Lap,Bio Med
Jill Smith,14,0.55,3,Victory Lap,Early College
Lucian Moore,18,3.99,38,Victory Lap,Early College
Van Davis,15,2.91,50,Sophomore,Early Childhood Education
Lucian DeFreitas,14,3.73,7,Sophomore,Early College
Jane Willaims,16,0.31,7,Sophomore,Bio Med
Marge Johnson,14,3.94,36,Senior,Marketing
Jane Willaims,16,1.22,59,Sophomore,Culinary
Benedict Manukyan,19,0.52,24,Senior,Engineering
Alexis Moore,14,0.55,36,Junior,Bio Med
Lucian Johnson,19,2.68,9,Victory Lap,Early College
Lucian Johnson,16,3.87,26,Junior,Bio Med
Noah Davis,19,3.58,46,Senior,Early Childhood Education
Katerina Smith,18,1.81,44,Freshman,Early Childhood Education
Rachel Johnson,14,3.89,45,Sophomore,Culinary
Jane Miller,17,3.07,44,Victory Lap,Marketing
Alexis Brown,14,3.76,25,Freshman,Computer Science
Emmy Foster,14,1.86,53,Freshman,Business
Noah Davis,15,1.73,42,Junior,Construction
Emma Wilson,17,3.83,17,Victory Lap,Construction
Kaden Davis,19,1.19,33,Freshman,Early College
Mac Miller,14,4.0,33,Junior,Marketing
Joe Garcia,15,4.18,34,Sophomore,Culinary
Kyan Foster,17,1.2,16,Senior,Computer Science
Elijah Garcia,14,1.31,4,Victory Lap,Early Childhood Education
Emma Davis,17,0.44,17,Victory Lap,Construction
Eliana Fogarty,17,0.35,13,Victory Lap,Construction
Eliana Manukyan,16,0.54,60,Junior,Bio Med
Ben Manukyan,18,1.44,32,Victory Lap,Computer Science
Van Manukyan,18,1.65,58,Victory Lap,Bio Med
Benedict Manukyan,16,0.48,11,Junior,Construction
Joe Willaims,17,1.96,20,Sophomore,Computer Science
Lucian Johnson,18,1.69,47,Senior,Business
Jill Fogarty,17,2.7,40,Victory Lap,Early College
Alexis Moore,17,2.52,40,Victory Lap,Culinary
Jane Davis,17,0.88,5,Senior,Criminal Justice
Keaton Wilson,15,1.19,19,Junior,Criminal Justice
Jane DeFreitas,19,2.08,56,Sophomore,Construction
Emmy Smith,19,2.14,54,Victory Lap,Early College
Katerina Jones,18,2.6,60,Junior,Construction
Lucian Wilson,17,0.84,56,Victory Lap,Business
Lisa Smith,19,3.91,18,Senior,Culinary
Jill Jones,16,4.26,33,Senior,Culinary
Lucian Miller,18,1.15,23,Sophomore,Business
Noah Fogarty,17,2.21,19,Freshman,Criminal Justice
Andrew Brown,14,2.8,7,Junior,Construction
Emma Fogarty,16,2.65,52,Victory Lap,Early College
Katerina Jones,15,0.63,33,Junior,Culinary
Noah Davis,19,2.25,5,Senior,Business
Katerina Moore,14,3.73,52,Senior,Marketing
Marge Fogarty,14,3.15,30,Senior,Culinary
Jill Wilson,14,0.32,59,Freshman,Construction
Kaden Brown,15,3.48,27,Senior,Early Childhood Education
Joe Wilson,18,2.04,22,Sophomore,Early College
Mac Garcia,14,1.91,14,Junior,Computer Science
Kaden Willaims,18,2.49,55,Victory Lap,Culinary
Roman Wilson,14,0.62,33,Sophomore,Culinary
Keaton DeFreitas,18,0.41,14,Freshman,Construction
Van Wilson,14,3.22,41,Freshman,Computer Science
Kaden Fogarty,19,1.24,50,Junior,Business
Aiden Davis,15,1.78,46,Senior,Early Childhood Education
Ben Manukyan,17,0.62,12,Freshman,Business
Marge Miller,18,3.16,30,Freshman,Engineering
Joe Miller,15,0.36,54,Sophomore,Criminal Justice
Kaden Foster,18,0.63,38,Freshman,Culinary
Joe Foster,19,0.46,30,Victory Lap,Computer Science
Aiden Manukyan,19,0.71,48,Freshman,Culinary
Jane Miller,18,1.56,24,Sophomore,Early Childhood Education
Aiden Garcia,16,3.33,20,Senior,Early Childhood Education
Benedict Smith,16,2.12,14,Victory Lap,Marketing
Aiden Jones,19,3.3,50,Junior,Criminal Justice
Rachel Fogarty,19,3.04,48,Junior,Engineering
Keaton Brown,14,3.99,32,Senior,Early Childhood Education
Lisa Brown,19,1.63,38,Victory Lap,Computer Science
Marge Foster,17,2.34,5,Victory Lap,Marketing
Marge Brown,19,3.38,15,Freshman,Early Childhood Education
Emma Smith,16,3.63,39,Junior,Culinary
Marge Smith,14,2.09,29,Freshman,Criminal Justice
Danielle Fogarty,14,0.82,19,Freshman,Early College
Ben Wilson,17,3.06,21,Freshman,Marketing
Kaden Manukyan,18,4.0,59,Victory Lap,Marketing
Kyan Johnson,19,0.47,22,Victory Lap,Business
Joe Manukyan,19,1.06,31,Victory Lap,Business
Van Johnson,19,1.85,23,Victory Lap,Early Childhood Education
Mac Davis,15,4.21,2,Freshman,Culinary
Benedict Wilson,17,1.88,59,Freshman,Culinary
Marge Brown,15,4.24,55,Victory Lap,Early College
Jill Foster,16,1.24,48,Victory Lap,Business
Danielle Johnson,19,4.08,10,Senior,Criminal Justice
Elijah Garcia,18,3.41,52,Sophomore,Early College
Alexis Johnson,15,2.69,40,Freshman,Engineering
Rachel Manukyan,14,1.56,59,Sophomore,Business
Noah Garcia,18,1.93,21,Junior,Culinary
Katerina DeFreitas,14,3.61,7,Victory Lap,Criminal Justice
Noah Garcia,18,2.11,20,Victory Lap,Engineering
Ben Garcia,14,0.48,23,Freshman,Criminal Justice
Lucian Manukyan,15,1.98,30,Senior,Criminal Justice
Kaden Davis,16,2.35,28,Junior,Bio Med
Emmy Fogarty,18,2.44,19,Victory Lap,Criminal Justice
Mac Johnson,15,3.82,23,Senior,Business
Kyan Garcia,15,1.05,10,Junior,Bio Med
Van Miller,17,0.47,42,Senior,Early Childhood Education
Danielle DeFreitas,15,4.25,21,Freshman,Business
Keaton Fogarty,19,1.94,58,Victory Lap,Early College
Roman Anderson,18,3.92,35,Senior,Business
Kaden Davis,19,1.9,4,Junior,Early Childhood Education
Eliana Manukyan,16,3.95,56,Freshman,Bio Med
Emmy Foster,14,1.2,15,Freshman,Business
Roman Manukyan,19,3.2,21,Senior,Business
Kaden Brown,14,0.42,44,Victory Lap,Computer Science
Joe Jones,16,0.88,30,Sophomore,Computer Science
Roman Fogarty,19,3.8,51,Victory Lap,Computer Science
Van Smith,14,1.67,29,Freshman,Business
Andrew Miller,17,2.13,0,Senior,Computer Science
Joe Davis,15,3.94,22,Victory Lap,Engineering
Danielle Brown,14,2.31,31,Senior,Culinary
Ben Foster,17,3.74,10,Victory Lap,Engineering
Benedict Moore,14,1.13,8,Senior,Culinary
Emma Smith,14,2.24,40,Junior,Early College
Van Manukyan,14,0.51,27,Freshman,Early Childhood Education
Kaden Moore,19,2.1,60,Sophomore,Culinary
Kaden Anderson,17,3.8,9,Senior,Early College
Van Smith,15,3.21,32,Junior,Construction
Elijah Johnson,15,3.71,39,Victory Lap,Engineering
Alexis Wilson,14,0.45,37,Sophomore,Culinary
Kaden Smith,14,2.14,43,Senior,Engineering
Emmy Johnson,18,2.72,13,Freshman,Marketing
Aiden Fogarty,18,3.27,40,Victory Lap,Marketing
Danielle Fogarty,15,1.58,56,Junior,Bio Med
Aiden Willaims,16,2.85,41,Senior,Business
Noah Foster,19,0.74,50,Freshman,Construction
Katerina Smith,17,4.27,44,Junior,Early Childhood Education
Mac Foster,15,2.12,18,Junior,Construction
Elijah Willaims,16,1.66,26,Junior,Marketing
Ben Johnson,19,3.19,50,Junior,Bio Med
Katerina Moore,17,0.75,35,Freshman,Early College
Aiden Willaims,17,3.76,6,Victory Lap,Early College
Joe Brown,16,2.4,31,Victory Lap,Engineering
Van Johnson,17,3.68,52,Junior,Bio Med
Danielle Fogarty,16,0.62,58,Victory Lap,Early Childhood Education
Ben Smith,17,2.7,31,Junior,Business
Keaton Johnson,17,4.21,41,Junior,Construction
Jill Wilson,15,3.79,19,Victory Lap,Engineering
Jill Johnson,16,1.36,8,Sophomore,Computer Science
Jill Moore,18,1.49,54,Victory Lap,Marketing
Jill Jones,15,3.2,7,Sophomore,Marketing
Rachel Johnson,14,1.89,48,Senior,Bio Med
Mac Moore,19,4.16,32,Sophomore,Early Childhood Education
Aiden Fogarty,19,2.0,13,Freshman,Early Childhood Education
