Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Elijah Moore,19,3.62,1,47,Chemistry,Junior
James Robinson,22,3.86,0,13,Art,Sophomore
Sarah Moore,19,3.76,2,15,Biology,Graduate
Sarah Clark,25,3.05,3,94,Computer Science,Senior
Samuel Hernandez,22,3.64,0,97,Psychology,Freshman
Katie Anderson,20,2.44,2,78,Business,Freshman
Sarah Sanchez,25,2.51,3,39,Physics,Freshman
Daniel Williams,24,3.33,2,23,Business,Senior
Sophia Martinez,23,2.33,0,20,Chemistry,Junior
Benjamin Jones,19,2.45,3,28,Computer Science,Senior
John Rodriguez,25,3.26,3,77,Art,Freshman
Samuel Jackson,20,2.9,0,71,Philosophy,Freshman
David Sanchez,18,3.04,3,23,History,Graduate
Joseph Rodriguez,18,2.02,1,0,Sociology,Sophomore
Katie Perez,18,2.61,1,47,Biology,Freshman
Michael White,25,2.3,2,95,Philosophy,Graduate
Ethan Williams,21,2.4,1,55,Science,Graduate
Emily Lewis,24,2.15,0,5,Economics,Graduate
Evelyn Perez,23,3.79,0,120,Psychology,Sophomore
Evelyn White,25,3.65,2,117,Engineering,Junior
Sophia Jones,23,3.55,0,74,Physics,Freshman
Ethan Ramirez,18,3.2,3,91,Art,Freshman
David White,22,2.35,0,32,Science,Junior
Andrew Lopez,23,3.42,0,8,Psychology,Freshman
Lucas Gonzalez,22,3.22,3,38,Business,Graduate
Emily Hernandez,23,2.93,3,37,Mathematics,Senior
Chris White,21,2.92,3,24,Art,Sophomore
Amelia Brown,25,2.86,3,4,Art,Junior
Emma Sanchez,20,2.06,0,100,Philosophy,Graduate
Olivia White,22,2.08,2,50,Computer Science,Freshman
Emily Thomas,22,3.91,1,24,Mathematics,Graduate
Daniel Johnson,20,2.49,1,59,Engineering,Freshman
Katie Jones,24,3.73,1,89,Biology,Sophomore
Mia Moore,20,3.08,1,100,Physics,Graduate
Abigail Smith,18,2.81,2,115,Sociology,Junior
James Harris,25,3.29,1,17,Literature,Freshman
Mia Sanchez,20,2.96,0,64,Science,Senior
Katie Garcia,21,2.55,0,113,Sociology,Sophomore
Matthew Jackson,25,3.15,0,108,Philosophy,Sophomore
Harper Rodriguez,22,2.37,2,5,Physics,Graduate
Mia Lee,20,2.32,2,45,Literature,Graduate
Abigail Harris,19,3.1,0,70,Art,Junior
Sarah Jackson,24,3.49,1,41,Sociology,Junior
Jane Moore,24,2.82,1,44,Art,Senior
Daniel Thompson,24,2.82,0,97,Physics,Freshman
Joseph Martinez,22,3.41,0,102,Science,Junior
Laura Brown,18,2.02,2,114,Science,Freshman
Charlotte Sanchez,21,3.2,0,72,Economics,Junior
Benjamin Gonzalez,21,2.45,0,57,Chemistry,Senior
John Williams,23,2.76,2,109,Sociology,Freshman
James Smith,25,2.91,1,106,Sociology,Graduate
Charlotte Sanchez,21,2.86,1,45,Literature,Senior
James Robinson,21,3.85,1,114,Physics,Graduate
Sarah Harris,25,2.44,2,30,Computer Science,Senior
Jane Davis,21,2.67,1,87,Psychology,Senior
Laura Garcia,21,2.78,1,92,Biology,Freshman
Andrew Robinson,25,2.29,0,72,Literature,Junior
Amelia Thomas,18,2.25,0,18,Psychology,Junior
Michael Jones,18,3.42,3,30,History,Graduate
Harper Perez,18,2.03,0,104,Computer Science,Senior
Mia Martinez,25,3.08,1,37,Chemistry,Junior
Mia Lewis,22,2.78,1,107,Psychology,Graduate
Sophia Jones,24,2.97,0,35,Sociology,Freshman
Daniel Martin,20,3.56,3,34,Psychology,Junior
Daniel Anderson,19,2.3,0,60,Business,Senior
Joseph Anderson,18,3.47,3,70,Art,Sophomore
Chris Miller,20,3.54,0,33,Sociology,Sophomore
Michael Harris,22,2.92,0,73,Business,Junior
Lucas Thomas,20,3.72,1,11,Economics,Freshman
James Anderson,25,2.35,0,105,Art,Junior
Benjamin Harris,24,2.12,0,64,Literature,Sophomore
Charlotte Thompson,18,3.13,0,70,Physics,Senior
Jane Martin,25,3.35,3,79,Physics,Freshman
Olivia Robinson,21,2.12,3,32,Philosophy,Senior
Isabella Moore,19,2.37,1,98,Biology,Graduate
Benjamin Perez,20,3.65,0,28,Chemistry,Freshman
Sophia Smith,20,3.31,3,80,Business,Freshman
Samuel Miller,21,2.85,0,55,Sociology,Junior
Samuel Clark,22,2.4,3,26,Physics,Senior
Alex Thompson,20,3.7,2,42,Business,Freshman
Evelyn Jones,21,3.41,2,104,Business,Graduate
James Thomas,19,2.26,3,94,Economics,Graduate
Benjamin Ramirez,25,2.34,2,13,Sociology,Sophomore
Laura Moore,18,2.36,0,43,Chemistry,Senior
Olivia Lopez,25,2.81,1,113,Literature,Graduate
Ethan Lopez,22,3.98,1,113,Physics,Freshman
Michael Ramirez,18,2.36,2,86,Engineering,Graduate
Laura Ramirez,25,2.99,2,79,Science,Senior
Ethan Lewis,22,3.32,3,16,Literature,Senior
Abigail Sanchez,23,2.01,1,30,Business,Senior
Sophia Martinez,22,3.02,0,59,Sociology,Sophomore
Amelia Lee,19,3.77,3,22,Physics,Graduate
Michael Harris,25,2.31,0,16,Mathematics,Senior
Daniel Moore,22,3.91,3,29,Art,Freshman
Andrew Taylor,18,2.4,2,38,Art,Senior
Ethan Thomas,22,2.71,2,113,Psychology,Junior
Sarah Jackson,20,2.29,0,63,Psychology,Senior
Katie Williams,18,2.65,3,40,Mathematics,Junior
Samuel Clark,21,2.81,0,84,Art,Senior
Alex Martinez,24,2.54,1,38,Chemistry,Graduate
Alex Smith,21,3.3,0,57,Literature,Senior
Sophia Gonzalez,25,3.07,3,9,Computer Science,Sophomore
James Taylor,25,2.91,2,86,Sociology,Sophomore
Harper Harris,24,3.97,0,53,Science,Graduate
Ethan Gonzalez,22,3.94,3,54,Physics,Freshman
Mia Garcia,21,2.45,1,23,Mathematics,Senior
Michael Garcia,20,3.91,2,22,Science,Sophomore
Evelyn Thomas,20,3.59,0,85,History,Senior
Isabella Hernandez,25,2.46,2,94,Physics,Sophomore
Olivia Martin,19,2.53,1,120,Biology,Sophomore
Emily Hernandez,21,2.93,3,25,Chemistry,Sophomore
Alex Gonzalez,25,3.6,1,30,History,Sophomore
Sarah Martinez,21,3.31,3,8,Literature,Sophomore
Olivia Jackson,24,2.65,0,93,Economics,Senior
Jane Lewis,18,3.32,2,57,Computer Science,Senior
David Martinez,24,3.57,1,93,Economics,Freshman
Mia Lee,22,3.05,1,84,History,Sophomore
Andrew Wilson,20,2.43,2,37,Chemistry,Senior
Andrew Hernandez,18,2.47,3,94,History,Senior
Harper Thompson,19,3.46,3,4,Chemistry,Graduate
Samuel Smith,19,2.16,3,60,Chemistry,Freshman
Charlotte Brown,24,3.14,0,103,Business,Senior
John Smith,20,2.41,0,15,Engineering,Graduate
Mia Hernandez,21,2.27,3,93,Chemistry,Senior
Mia Anderson,18,2.32,1,18,Business,Senior
Charlotte Wilson,18,2.4,0,120,Literature,Freshman
Evelyn Lee,23,2.27,0,67,Computer Science,Senior
Ethan Wilson,21,3.58,1,108,Computer Science,Senior
Evelyn Gonzalez,19,2.75,2,83,Sociology,Sophomore
Isabella Garcia,23,2.13,1,113,Economics,Senior
Joseph Brown,20,3.45,0,22,Computer Science,Freshman
Emily Rodriguez,25,3.67,2,57,Physics,Senior
Jane Miller,24,3.65,0,3,Philosophy,Senior
Emma Wilson,18,3.13,2,98,Literature,Graduate
Elijah Jones,23,2.88,0,13,Psychology,Freshman
Jane Taylor,23,3.42,0,14,Science,Freshman
Matthew Wilson,20,2.89,1,83,Psychology,Freshman
Andrew Williams,19,3.01,2,62,Psychology,Graduate
Isabella Garcia,20,3.22,3,70,History,Sophomore
Emma White,20,2.97,1,93,Economics,Freshman
Elijah Brown,23,2.49,0,67,Economics,Junior
Sarah Robinson,25,3.2,2,29,Business,Junior
Olivia Anderson,20,3.42,2,114,Literature,Junior
Lucas Taylor,20,3.1,2,86,Science,Freshman
Sarah Perez,24,2.53,2,101,Literature,Graduate
Olivia Taylor,19,2.57,0,80,Economics,Senior
John Clark,22,3.01,1,91,Economics,Senior
Charlotte Perez,23,2.73,3,99,Art,Sophomore
Matthew Brown,22,2.73,2,15,Business,Junior
Daniel Martinez,23,2.83,3,26,Mathematics,Graduate
Katie Johnson,21,3.55,3,7,Art,Freshman
Olivia Jones,20,3.01,3,53,Science,Sophomore
Olivia Rodriguez,25,2.31,0,4,Art,Sophomore
Katie Martinez,20,3.47,1,4,Engineering,Senior
Sarah Wilson,23,3.14,2,28,Sociology,Senior
Isabella Martin,25,3.63,2,30,History,Freshman
Michael Hernandez,18,3.04,2,1,Psychology,Senior
Katie Sanchez,23,2.82,3,105,Computer Science,Senior
Charlotte Brown,19,3.27,0,85,Physics,Sophomore
Abigail Martinez,23,3.31,0,65,Physics,Freshman
Harper Robinson,19,2.27,1,68,Biology,Sophomore
Samuel Rodriguez,18,2.81,0,16,Science,Senior
John Gonzalez,25,3.86,2,14,Biology,Graduate
Daniel Lopez,21,2.85,2,16,Science,Freshman
Elijah Williams,19,2.09,1,0,Chemistry,Sophomore
Joseph Martinez,19,2.5,1,36,Philosophy,Junior
Olivia Martinez,19,2.93,3,106,Chemistry,Junior
Isabella Smith,22,2.01,0,81,Philosophy,Senior
Katie Robinson,25,3.99,3,101,Computer Science,Senior
Andrew Thomas,19,2.96,1,41,Engineering,Senior
Elijah Smith,22,3.02,3,54,Economics,Junior
Elijah Robinson,19,2.7,0,95,Psychology,Senior
James Jones,18,2.2,0,83,Economics,Graduate
Harper Hernandez,19,2.6,2,103,Science,Sophomore
Ethan Williams,18,2.11,0,34,Physics,Sophomore
Andrew White,21,3.88,0,5,Art,Graduate
Benjamin Perez,19,3.74,2,43,Physics,Senior
John Harris,24,3.5,3,42,Mathematics,Graduate
Olivia Thomas,23,2.8,2,113,Computer Science,Freshman
Andrew Thompson,23,3.26,3,98,Sociology,Senior
Chris Wilson,18,2.63,1,55,Business,Junior
David Gonzalez,20,3.48,0,73,Chemistry,Sophomore
Emily Moore,23,2.19,2,21,Computer Science,Sophomore
Charlotte Harris,25,3.28,2,16,History,Freshman
John Martin,23,3.83,2,35,Psychology,Senior
Joseph Williams,18,3.09,0,107,Physics,Graduate
Elijah Thompson,20,3.51,3,92,Philosophy,Senior
Emma Hernandez,18,3.15,0,44,Economics,Freshman
Katie Williams,22,3.24,0,37,Science,Freshman
Jane Gonzalez,20,2.72,3,30,Literature,Senior
Matthew Lopez,18,2.28,3,53,Science,Sophomore
Benjamin Ramirez,21,2.65,3,102,Mathematics,Freshman
Andrew Lewis,24,2.4,1,83,Biology,Sophomore
Michael Moore,19,2.83,2,108,Mathematics,Senior
Jane Clark,18,3.99,3,110,Art,Freshman
Charlotte Brown,21,2.55,1,50,Literature,Senior
Mia Martin,19,2.94,1,119,Business,Junior
Andrew Robinson,25,3.5,0,12,Art,Junior
Joseph Johnson,18,3.69,2,53,Philosophy,Senior
Sophia Thomas,23,3.25,0,102,Physics,Graduate
John Ramirez,22,3.38,0,73,Sociology,Junior
Laura Taylor,25,2.73,2,68,Art,Graduate
James Martinez,20,2.79,0,47,Biology,Sophomore
John Miller,22,3.15,1,66,Engineering,Junior
Sarah Smith,20,3.0,3,41,Engineering,Freshman
Joseph Sanchez,25,3.61,1,113,Science,Senior
Daniel Clark,23,3.84,3,116,Biology,Graduate
Sarah Taylor,20,3.87,0,4,Sociology,Graduate
Abigail Sanchez,20,2.64,2,20,Sociology,Junior
David Martinez,18,3.43,2,22,Sociology,Junior
Emma Thomas,19,2.78,0,66,Art,Graduate
Chris Miller,18,2.51,1,105,Literature,Senior
Lucas Gonzalez,24,2.79,0,96,Science,Junior
Katie Smith,20,3.82,3,69,Sociology,Sophomore
Andrew Moore,23,3.99,2,26,Engineering,Senior
James Lee,19,2.88,3,114,History,Junior
Daniel Miller,22,3.38,1,104,Sociology,Junior
Joseph Taylor,18,2.97,2,61,Economics,Senior
Michael Perez,21,3.21,0,21,Mathematics,Sophomore
Samuel Brown,22,3.14,3,83,Engineering,Freshman
Emma Smith,25,2.09,2,21,Economics,Senior
Samuel Wilson,20,3.2,0,102,Literature,Sophomore
James Lewis,22,3.51,0,46,Psychology,Graduate
Andrew Thomas,24,3.66,3,37,Art,Junior
Isabella Anderson,18,3.75,0,61,Business,Freshman
Olivia Williams,19,2.37,1,99,Economics,Sophomore
Evelyn Lopez,24,2.73,1,70,Sociology,Senior
Jane Johnson,25,3.6,0,96,Economics,Graduate
Andrew Hernandez,22,2.28,2,102,Economics,Sophomore
John Johnson,25,3.35,2,60,Engineering,Junior
Joseph Lewis,18,3.92,3,45,Literature,Junior
Harper Martinez,23,3.77,3,26,Biology,Freshman
Ethan Lee,24,3.51,1,9,History,Freshman
David Davis,24,3.55,3,115,Sociology,Graduate
Jane Moore,24,3.21,1,33,Mathematics,Senior
Sophia Jones,20,2.42,1,57,Sociology,Graduate
Abigail Brown,18,3.05,1,112,Philosophy,Freshman
Benjamin Johnson,21,2.99,0,37,Science,Freshman
Olivia Wilson,25,2.99,0,21,Business,Senior
Emma Ramirez,23,2.09,3,8,Chemistry,Sophomore
Emily Clark,21,3.02,3,94,Business,Sophomore
James Garcia,25,2.78,2,42,Psychology,Freshman
David Johnson,19,2.72,3,9,Biology,Graduate
Joseph Taylor,20,3.15,2,23,Physics,Graduate
James Johnson,21,3.3,0,118,Business,Graduate
Alex Martin,25,3.62,1,104,Literature,Freshman
Andrew Wilson,18,3.56,0,50,Philosophy,Sophomore
Katie Ramirez,25,3.31,3,106,Psychology,Freshman
Isabella Davis,21,2.61,0,57,Sociology,Junior
Emily Ramirez,19,2.97,1,27,Economics,Senior
Olivia Moore,24,3.73,0,4,Literature,Freshman
Katie Johnson,19,3.75,2,38,Sociology,Graduate
Alex Robinson,21,2.77,3,66,Philosophy,Junior
Mia Williams,19,2.25,1,85,Art,Graduate
Lucas Hernandez,22,3.42,2,55,Literature,Freshman
Sarah Taylor,18,2.01,3,3,Biology,Graduate
Abigail Martin,24,2.22,1,100,Business,Graduate
Olivia Davis,25,3.33,2,71,Computer Science,Senior
Abigail Thompson,23,3.48,3,74,Psychology,Graduate
Joseph Hernandez,22,2.42,0,35,Physics,Senior
John Sanchez,19,3.35,3,108,Art,Senior
Joseph Anderson,25,3.69,1,9,History,Junior
Ethan Williams,21,2.13,3,18,Mathematics,Graduate
Benjamin Gonzalez,25,3.21,0,43,Chemistry,Senior
Ethan Robinson,18,3.38,0,101,Mathematics,Graduate
Sarah Johnson,25,2.92,1,64,Mathematics,Junior
Joseph Gonzalez,19,3.15,2,3,Business,Freshman
Abigail Brown,22,3.54,1,77,Literature,Graduate
Abigail Thompson,23,2.34,0,85,Chemistry,Freshman
Andrew Garcia,21,3.25,2,17,Mathematics,Sophomore
Lucas Gonzalez,24,3.69,3,113,History,Freshman
Elijah Clark,19,2.86,2,98,Chemistry,Sophomore
Andrew Martin,25,2.85,3,108,History,Sophomore
Ethan Martin,22,2.71,1,66,Business,Graduate
Katie Gonzalez,23,2.02,1,108,Engineering,Senior
Evelyn Lewis,19,3.44,0,8,Business,Freshman
Charlotte Thompson,24,2.81,3,35,Sociology,Freshman
Andrew Perez,24,3.63,2,89,Psychology,Sophomore
Joseph Jackson,25,3.92,2,4,Literature,Junior
Evelyn Lewis,25,3.31,1,27,Literature,Junior
Samuel Perez,23,3.5,2,72,Philosophy,Sophomore
Laura Robinson,19,3.12,1,107,Philosophy,Sophomore
Ethan Lewis,24,2.91,2,11,Literature,Freshman
Laura Harris,20,2.26,2,112,Psychology,Freshman
Michael Robinson,25,2.23,2,13,Sociology,Graduate
Charlotte Thomas,19,2.11,3,120,Chemistry,Graduate
Michael Taylor,23,2.15,0,69,Literature,Junior
Charlotte Hernandez,22,2.69,0,115,Biology,Sophomore
John Hernandez,19,2.52,0,37,Biology,Sophomore
David Anderson,24,2.16,1,47,Art,Freshman
Charlotte Robinson,18,2.26,3,26,Physics,Sophomore
Emma Jackson,24,3.06,1,96,Physics,Sophomore
Matthew Johnson,19,2.33,0,99,Literature,Freshman
Katie Lewis,19,3.71,2,17,Computer Science,Junior
Sophia Harris,20,2.16,1,83,History,Graduate
Chris Thomas,19,3.86,2,0,Sociology,Junior
Laura Gonzalez,21,2.38,0,6,Science,Sophomore
Chris Thompson,24,2.41,1,33,Philosophy,Freshman
Olivia Smith,20,3.99,2,34,History,Sophomore
John Brown,20,3.19,0,3,Philosophy,Junior
Elijah Harris,24,3.01,0,38,Physics,Sophomore
Charlotte Lee,23,2.31,1,8,Mathematics,Freshman
Emily Johnson,21,3.17,0,11,Biology,Sophomore
Sarah Sanchez,18,2.17,0,15,Psychology,Freshman
Ethan Williams,23,2.4,0,1,Economics,Freshman
Charlotte Martin,18,3.07,2,4,Physics,Graduate
Emily Taylor,20,3.88,3,116,History,Sophomore
Laura Anderson,19,3.36,3,7,Engineering,Senior
Isabella Thomas,20,3.62,3,106,History,Junior
Joseph White,22,3.77,0,119,Science,Graduate
David Jackson,23,2.18,0,41,Sociology,Sophomore
Ethan Taylor,25,3.83,2,2,Chemistry,Sophomore
Olivia Lee,20,3.19,3,113,Biology,Graduate
Amelia Ramirez,18,3.98,1,92,History,Junior
Ethan Clark,19,2.77,1,73,Mathematics,Sophomore
Emily Miller,23,3.04,0,6,Mathematics,Sophomore
James Jackson,22,3.79,1,98,Biology,Junior
Emily Robinson,21,3.71,2,43,Psychology,Sophomore
Emma Lewis,24,2.02,2,57,Engineering,Senior
John Taylor,20,2.31,0,106,Psychology,Sophomore
Emily Clark,22,3.9,1,25,Sociology,Sophomore
Abigail Davis,22,3.01,3,109,History,Freshman
Sarah Clark,19,3.2,1,63,Philosophy,Junior
Jane Clark,24,3.52,1,64,Computer Science,Graduate
Daniel White,19,3.12,0,42,Sociology,Graduate
Evelyn Taylor,25,2.46,2,79,Business,Junior
Michael Taylor,18,2.84,2,59,Psychology,Sophomore
Sarah Lopez,23,2.13,3,6,Mathematics,Senior
David Thompson,19,3.81,2,26,Engineering,Senior
Alex Robinson,25,2.22,2,116,Computer Science,Junior
Laura Hernandez,23,2.03,1,1,Economics,Senior
Michael Clark,21,3.4,3,76,Mathematics,Junior
Alex Lee,23,3.34,0,58,Psychology,Graduate
Ethan Ramirez,21,2.45,3,94,Engineering,Freshman
Chris Martin,22,3.16,2,90,Literature,Sophomore
Alex Harris,25,3.04,3,84,Literature,Sophomore
Chris Ramirez,20,2.64,3,57,Physics,Sophomore
James Lewis,19,2.24,0,65,Engineering,Sophomore
Jane Lewis,22,3.74,0,88,History,Sophomore
Laura Lopez,23,3.71,3,50,Biology,Senior
Daniel Lee,18,3.39,3,22,Computer Science,Graduate
Michael White,21,2.98,0,88,Chemistry,Freshman
Jane Smith,25,2.71,3,5,Economics,Senior
Matthew Hernandez,22,2.99,3,108,Engineering,Graduate
Sophia Miller,18,3.47,0,76,Philosophy,Junior
Olivia Hernandez,24,3.15,0,21,Computer Science,Junior
Laura Davis,25,3.8,0,43,Sociology,Sophomore
Jane Brown,24,2.5,0,41,Chemistry,Junior
Samuel Thomas,22,2.81,1,61,Mathematics,Freshman
Chris Harris,23,3.5,0,16,Psychology,Junior
Jane Johnson,22,2.79,3,56,Computer Science,Junior
Evelyn Davis,22,3.36,0,35,Mathematics,Senior
Daniel Wilson,22,2.67,2,47,Philosophy,Senior
Sophia Martinez,22,2.64,2,35,Psychology,Sophomore
Isabella Lee,18,2.17,3,106,Literature,Freshman
Ethan White,21,3.27,3,91,Science,Freshman
Mia Hernandez,22,2.59,0,72,Computer Science,Graduate
Amelia Garcia,21,2.73,2,66,Economics,Graduate
Daniel Perez,25,3.08,2,24,Sociology,Senior
Jane Jones,23,2.79,1,27,Computer Science,Freshman
Lucas Williams,25,3.22,2,81,Science,Sophomore
Ethan Thomas,18,3.58,3,19,Art,Sophomore
Abigail Ramirez,24,2.29,0,59,Biology,Freshman
Joseph Johnson,22,3.22,1,80,Engineering,Junior
Mia Garcia,23,2.16,3,22,Philosophy,Senior
Ethan White,18,2.91,0,60,Psychology,Junior
Ethan Jones,23,3.39,0,103,Economics,Freshman
Ethan White,24,2.72,2,29,Chemistry,Junior
Amelia Johnson,25,2.58,2,8,Biology,Freshman
Sophia Miller,18,2.66,1,81,Chemistry,Freshman
Alex Williams,25,3.92,3,38,Physics,Sophomore
Ethan Moore,21,2.75,2,33,Philosophy,Graduate
John Miller,24,3.31,3,97,Business,Freshman
Samuel Brown,21,2.34,3,24,Sociology,Junior
Ethan Robinson,22,2.79,3,78,Computer Science,Senior
Michael Robinson,23,3.78,0,97,Biology,Freshman
Sophia Rodriguez,21,2.41,3,3,Sociology,Freshman
Abigail Lopez,22,3.14,1,25,Engineering,Sophomore
Michael Martinez,18,2.36,2,14,Science,Sophomore
Samuel Robinson,20,3.24,1,15,Mathematics,Junior
Andrew Davis,22,2.56,2,27,Art,Graduate
Emily Miller,25,3.73,3,18,History,Sophomore
Chris Johnson,25,3.99,2,3,Mathematics,Graduate
Mia Harris,23,3.71,0,87,Psychology,Senior
Chris Brown,21,3.04,2,83,Literature,Freshman
Amelia Robinson,21,2.84,0,29,History,Senior
Samuel Thomas,25,2.78,3,1,Biology,Freshman
Amelia Anderson,19,3.43,2,5,Engineering,Sophomore
Isabella Thompson,20,2.03,3,90,Psychology,Graduate
Matthew Miller,25,3.05,2,116,Physics,Senior
Sophia Davis,25,3.88,1,28,Literature,Senior
Joseph Lewis,22,2.08,2,40,Economics,Freshman
Elijah Lewis,23,3.13,0,66,Philosophy,Sophomore
Daniel Garcia,19,2.75,3,96,Economics,Senior
Emma Thompson,25,3.3,1,61,Art,Freshman
John Taylor,23,2.58,3,3,History,Sophomore
Harper Lee,18,2.65,2,32,Biology,Junior
Andrew Jackson,20,3.39,1,84,Chemistry,Senior
Evelyn Sanchez,24,2.62,2,107,Science,Junior
Michael Johnson,21,2.48,0,6,Philosophy,Graduate
Ethan Lee,20,2.79,0,100,Art,Senior
Joseph Taylor,22,3.63,3,77,Art,Senior
Alex Brown,22,2.65,2,119,History,Freshman
Sarah Harris,24,2.59,2,91,Mathematics,Senior
Sarah Thomas,24,3.55,3,95,Physics,Sophomore
Lucas Thomas,20,2.31,0,16,Economics,Freshman
Abigail Garcia,25,2.72,0,34,Engineering,Junior
Evelyn Williams,24,2.44,3,101,Psychology,Sophomore
Chris Williams,21,3.46,2,111,Literature,Freshman
Michael Lewis,20,2.57,2,29,Science,Freshman
Abigail Martin,21,2.43,1,61,Economics,Graduate
