Student Name,Entity,% Enr,Student Type,Race,Days Absent,Days Present,Days Possible,Percent Atnd,Ave Dly Attend,Days Excused,Days Unexc,Ave Dly Mbr,Calendar,Hisp/Lat,Current Date,Student Number,Current Grade,Guardian Name,Guardian Phone,Counselor,Counselor Email,Dean Name,Dean Email
Danielle Wilson,Penn High School,Full Time,High School,Other,9,171,180,98%,93%,6,1,10,Gold/Black,Yes,09/25/2025,388926,Freshman,Ben Garcia,219-555-9237,Ms. Jones,brown@example.com,Mrs. Black,white@example.com
Emma Jones,Penn High School,Full Time,High School,Asian,5,156,180,81%,96%,6,9,10,Gold/Black,Yes,09/25/2025,928068,Senior,Elijah Miller,219-555-6405,Mr. Brown,jones@example.com,Ms. Green,blue@example.com
Ben Anderson,Penn High School,Full Time,High School,Hispanic,19,160,180,87%,91%,5,3,10,Gold/Black,No,09/25/2025,794606,Sophomore,Keaton Jones,219-555-2852,Mr. Brown,brown@example.com,Ms. Red,white@example.com
Emma Jones,Penn High School,Full Time,High School,Black,8,163,180,91%,91%,9,7,10,Gold/Black,Yes,09/25/2025,675729,Freshman,Jill Johnson,219-555-6106,Mr. Brown,johson@example.com,Ms. Red,blue@example.com
Andrew DeFreitas,Penn High School,Full Time,High School,Other,5,169,180,93%,92%,2,9,10,Gold/Black,No,09/25/2025,427743,Victory Lap,Kaden Manukyan,219-555-4339,Mrs. Williams,jones@example.com,Mrs. Black,blue@example.com
Rachel Manukyan,Penn High School,Full Time,High School,Hispanic,0,168,180,94%,85%,3,6,10,Gold/Black,Yes,09/25/2025,707242,Senior,Alexis Fogarty,219-555-6743,Mr. Smith,williams@example.com,Ms. Green,white@example.com
Noah Miller,Penn High School,Full Time,High School,Hispanic,2,155,180,88%,80%,9,2,10,Gold/Black,No,09/25/2025,167453,Victory Lap,Jill Brown,219-555-6670,Mr. Smith,smith@example.com,Mr. Blue,red@example.com
Ben Davis,Penn High School,Full Time,High School,Other,15,151,180,87%,99%,8,4,10,Gold/Black,Yes,09/25/2025,439947,Freshman,Joe DeFreitas,219-555-5496,Mr. Smith,brown@example.com,Mr. Blue,blue@example.com
Joe Johnson,Penn High School,Full Time,High School,White,7,172,180,81%,99%,0,3,10,Gold/Black,No,09/25/2025,770852,Junior,Rachel Anderson,219-555-8978,Mr. Brown,williams@example.com,Mr. Blue,green@example.com
Van Miller,Penn High School,Full Time,High School,White,2,173,180,81%,83%,2,6,10,Gold/Black,Yes,09/25/2025,866004,Senior,Van Wilson,219-555-5015,Ms. Jones,johson@example.com,Mrs. Black,red@example.com
Jill Garcia,Penn High School,Full Time,High School,White,12,170,180,91%,84%,7,5,10,Gold/Black,Yes,09/25/2025,895372,Freshman,Danielle Johnson,219-555-4473,Ms. Jones,johson@example.com,Mrs. Black,white@example.com
Elijah Moore,Penn High School,Full Time,High School,Black,4,155,180,86%,90%,0,1,10,Gold/Black,Yes,09/25/2025,539287,Senior,Keaton DeFreitas,219-555-7549,Mrs. Williams,williams@example.com,Ms. Red,red@example.com
Lucian Foster,Penn High School,Full Time,High School,Black,0,169,180,81%,83%,9,4,10,Gold/Black,Yes,09/25/2025,334055,Junior,Joe Manukyan,219-555-7165,Ms. Jones,brown@example.com,Mr. White,red@example.com
Jill Miller,Penn High School,Full Time,High School,White,12,174,180,95%,80%,0,4,10,Gold/Black,No,09/25/2025,460512,Senior,Rachel Foster,219-555-5278,Ms. Johnson,brown@example.com,Mr. Blue,white@example.com
Andrew Foster,Penn High School,Full Time,High School,Hispanic,16,152,180,90%,93%,4,1,10,Gold/Black,No,09/25/2025,382193,Victory Lap,Roman Anderson,219-555-1042,Ms. Jones,jones@example.com,Mr. White,white@example.com
Noah DeFreitas,Penn High School,Full Time,High School,Asian,18,175,180,97%,80%,8,1,10,Gold/Black,Yes,09/25/2025,415182,Junior,Jane Wilson,219-555-1794,Mr. Brown,smith@example.com,Ms. Green,blue@example.com
Aiden Moore,Penn High School,Full Time,High School,Hispanic,8,154,180,88%,96%,3,5,10,Gold/Black,Yes,09/25/2025,663899,Junior,Danielle Brown,219-555-8255,Ms. Johnson,smith@example.com,Mr. White,blue@example.com
Jill Manukyan,Penn High School,Full Time,High School,Hispanic,10,174,180,94%,85%,1,1,10,Gold/Black,Yes,09/25/2025,442402,Freshman,Marge Smith,219-555-5612,Ms. Johnson,williams@example.com,Ms. Green,blue@example.com
Lucian Moore,Penn High School,Full Time,High School,Other,8,154,180,82%,95%,6,9,10,Gold/Black,No,09/25/2025,328618,Sophomore,Kaden Anderson,219-555-3635,Mr. Smith,brown@example.com,Mr. Blue,white@example.com
Eliana Brown,Penn High School,Full Time,High School,Asian,12,164,180,95%,82%,0,4,10,Gold/Black,No,09/25/2025,148163,Senior,Lucian DeFreitas,219-555-9544,Ms. Jones,smith@example.com,Mr. White,blue@example.com
Benedict Garcia,Penn High School,Full Time,High School,Hispanic,18,158,180,89%,88%,0,9,10,Gold/Black,No,09/25/2025,287804,Sophomore,Lisa Foster,219-555-6071,Mr. Smith,brown@example.com,Mr. White,red@example.com
Danielle Garcia,Penn High School,Full Time,High School,Asian,17,155,180,94%,88%,5,0,10,Gold/Black,Yes,09/25/2025,164575,Sophomore,Joe Anderson,219-555-1012,Mrs. Williams,johson@example.com,Mr. White,white@example.com
Rachel Fogarty,Penn High School,Full Time,High School,Black,17,168,180,87%,98%,7,0,10,Gold/Black,No,09/25/2025,414600,Victory Lap,Kyan Willaims,219-555-3660,Mr. Smith,brown@example.com,Mr. Blue,green@example.com
Katerina Johnson,Penn High School,Full Time,High School,Other,2,175,180,91%,85%,5,6,10,Gold/Black,Yes,09/25/2025,775610,Sophomore,Lucian Garcia,219-555-7630,Mr. Smith,smith@example.com,Mr. White,blue@example.com
Rachel Willaims,Penn High School,Full Time,High School,Black,10,161,180,99%,90%,6,8,10,Gold/Black,Yes,09/25/2025,776598,Victory Lap,Noah Davis,219-555-3168,Mr. Smith,johson@example.com,Mrs. Black,black@example.com
Kaden Davis,Penn High School,Full Time,High School,Asian,7,173,180,87%,81%,8,2,10,Gold/Black,Yes,09/25/2025,186997,Victory Lap,Roman Smith,219-555-3373,Mr. Smith,johson@example.com,Ms. Red,green@example.com
Aiden DeFreitas,Penn High School,Full Time,High School,Black,19,150,180,98%,89%,0,6,10,Gold/Black,Yes,09/25/2025,288742,Senior,Emmy Garcia,219-555-6666,Mr. Smith,smith@example.com,Ms. Red,black@example.com
Van Brown,Penn High School,Full Time,High School,White,2,178,180,97%,81%,2,6,10,Gold/Black,Yes,09/25/2025,409307,Victory Lap,Andrew Wilson,219-555-9376,Mr. Brown,brown@example.com,Mrs. Black,black@example.com
Ben Wilson,Penn High School,Full Time,High School,Hispanic,5,179,180,96%,82%,2,1,10,Gold/Black,Yes,09/25/2025,233895,Victory Lap,Marge Anderson,219-555-5531,Mrs. Williams,jones@example.com,Ms. Red,red@example.com
Elijah Fogarty,Penn High School,Full Time,High School,Hispanic,8,176,180,86%,90%,9,1,10,Gold/Black,Yes,09/25/2025,536501,Victory Lap,Mac Johnson,219-555-2051,Ms. Jones,brown@example.com,Mr. Blue,red@example.com
Roman Smith,Penn High School,Full Time,High School,White,5,172,180,84%,83%,8,6,10,Gold/Black,Yes,09/25/2025,370278,Junior,Kyan Garcia,219-555-5653,Ms. Jones,smith@example.com,Ms. Red,white@example.com
Ben Jones,Penn High School,Full Time,High School,Hispanic,6,158,180,91%,90%,7,7,10,Gold/Black,No,09/25/2025,339270,Freshman,Kaden Garcia,219-555-3683,Mr. Smith,johson@example.com,Mr. Blue,white@example.com
Mac Miller,Penn High School,Full Time,High School,Other,10,153,180,84%,81%,2,4,10,Gold/Black,No,09/25/2025,570283,Sophomore,Mac Miller,219-555-8361,Mr. Brown,williams@example.com,Mr. White,black@example.com
Alexis Smith,Penn High School,Full Time,High School,Asian,1,156,180,83%,91%,3,5,10,Gold/Black,No,09/25/2025,709208,Senior,Ben Wilson,219-555-3223,Ms. Johnson,brown@example.com,Ms. Red,red@example.com
Katerina Moore,Penn High School,Full Time,High School,Other,0,177,180,81%,80%,1,0,10,Gold/Black,No,09/25/2025,560996,Victory Lap,Noah Brown,219-555-8307,Mr. Brown,williams@example.com,Mr. Blue,green@example.com
Emmy DeFreitas,Penn High School,Full Time,High School,Hispanic,0,166,180,83%,90%,8,9,10,Gold/Black,No,09/25/2025,591549,Sophomore,Jill Brown,219-555-7541,Ms. Jones,brown@example.com,Mr. Blue,blue@example.com
Katerina Moore,Penn High School,Full Time,High School,Asian,7,153,180,81%,86%,8,3,10,Gold/Black,Yes,09/25/2025,276355,Senior,Ben Brown,219-555-1009,Ms. Jones,williams@example.com,Ms. Green,white@example.com
Jill Anderson,Penn High School,Full Time,High School,White,3,171,180,80%,97%,7,3,10,Gold/Black,Yes,09/25/2025,764711,Junior,Alexis Moore,219-555-3580,Ms. Jones,johson@example.com,Ms. Red,red@example.com
Jill Smith,Penn High School,Full Time,High School,Other,19,178,180,95%,83%,2,1,10,Gold/Black,Yes,09/25/2025,988982,Freshman,Eliana Anderson,219-555-8818,Mr. Brown,johson@example.com,Ms. Green,blue@example.com
Eliana Brown,Penn High School,Full Time,High School,Asian,16,176,180,91%,98%,8,2,10,Gold/Black,No,09/25/2025,580823,Senior,Lisa Manukyan,219-555-6139,Ms. Johnson,brown@example.com,Ms. Green,green@example.com
Elijah Moore,Penn High School,Full Time,High School,Asian,9,167,180,94%,89%,7,5,10,Gold/Black,No,09/25/2025,316702,Freshman,Roman Johnson,219-555-1175,Mrs. Williams,johson@example.com,Mr. Blue,blue@example.com
Joe Smith,Penn High School,Full Time,High School,Other,6,152,180,94%,93%,1,1,10,Gold/Black,No,09/25/2025,281319,Freshman,Elijah Garcia,219-555-6214,Ms. Jones,brown@example.com,Mrs. Black,white@example.com
Emmy Smith,Penn High School,Full Time,High School,Hispanic,14,164,180,89%,94%,2,4,10,Gold/Black,Yes,09/25/2025,138840,Freshman,Joe Foster,219-555-8691,Ms. Jones,smith@example.com,Ms. Green,red@example.com
Roman Garcia,Penn High School,Full Time,High School,Other,8,163,180,85%,89%,3,5,10,Gold/Black,No,09/25/2025,781180,Sophomore,Van Willaims,219-555-8103,Ms. Jones,smith@example.com,Mrs. Black,green@example.com
Benedict Johnson,Penn High School,Full Time,High School,White,0,167,180,83%,82%,1,7,10,Gold/Black,Yes,09/25/2025,103106,Junior,Jill Wilson,219-555-7199,Ms. Johnson,johson@example.com,Mr. White,white@example.com
Mac Johnson,Penn High School,Full Time,High School,White,15,161,180,85%,93%,3,4,10,Gold/Black,No,09/25/2025,568562,Freshman,Benedict Miller,219-555-6188,Ms. Johnson,jones@example.com,Mr. White,blue@example.com
Eliana Johnson,Penn High School,Full Time,High School,White,3,178,180,82%,97%,2,4,10,Gold/Black,Yes,09/25/2025,538674,Freshman,Joe Fogarty,219-555-3488,Mr. Brown,brown@example.com,Mr. Blue,green@example.com
Andrew Garcia,Penn High School,Full Time,High School,White,17,175,180,98%,82%,3,7,10,Gold/Black,Yes,09/25/2025,182655,Sophomore,Jill Brown,219-555-4612,Mrs. Williams,johson@example.com,Mr. White,white@example.com
Van DeFreitas,Penn High School,Full Time,High School,Hispanic,3,160,180,98%,97%,6,1,10,Gold/Black,Yes,09/25/2025,889161,Freshman,Marge Manukyan,219-555-4438,Mr. Smith,williams@example.com,Mrs. Black,red@example.com
Jill Moore,Penn High School,Full Time,High School,Other,7,154,180,85%,86%,3,6,10,Gold/Black,Yes,09/25/2025,502308,Freshman,Roman Moore,219-555-3640,Mr. Smith,williams@example.com,Mr. White,blue@example.com
Van Jones,Penn High School,Full Time,High School,Black,11,156,180,81%,96%,8,6,10,Gold/Black,Yes,09/25/2025,848451,Sophomore,Roman Anderson,219-555-6512,Mrs. Williams,williams@example.com,Mr. White,black@example.com
Jill Foster,Penn High School,Full Time,High School,Black,1,158,180,96%,81%,3,0,10,Gold/Black,No,09/25/2025,309504,Senior,Aiden Miller,219-555-6944,Ms. Jones,brown@example.com,Ms. Red,white@example.com
Benedict Davis,Penn High School,Full Time,High School,Hispanic,12,169,180,86%,82%,3,8,10,Gold/Black,Yes,09/25/2025,355279,Junior,Rachel Willaims,219-555-1942,Mrs. Williams,johson@example.com,Mrs. Black,white@example.com
Jane Wilson,Penn High School,Full Time,High School,Hispanic,13,169,180,98%,86%,3,4,10,Gold/Black,No,09/25/2025,933424,Freshman,Emmy DeFreitas,219-555-6548,Mr. Brown,johson@example.com,Mr. White,black@example.com
Katerina DeFreitas,Penn High School,Full Time,High School,Black,17,160,180,80%,94%,4,2,10,Gold/Black,Yes,09/25/2025,795657,Freshman,Eliana Jones,219-555-2533,Mrs. Williams,brown@example.com,Mrs. Black,white@example.com
Danielle Fogarty,Penn High School,Full Time,High School,Black,7,165,180,92%,95%,8,6,10,Gold/Black,Yes,09/25/2025,393892,Sophomore,Eliana Jones,219-555-2078,Mr. Brown,brown@example.com,Mrs. Black,black@example.com
Benedict Davis,Penn High School,Full Time,High School,White,0,170,180,95%,98%,2,0,10,Gold/Black,Yes,09/25/2025,145687,Junior,Alexis Willaims,219-555-8488,Ms. Johnson,johson@example.com,Mr. White,white@example.com
Alexis Manukyan,Penn High School,Full Time,High School,Black,8,178,180,84%,94%,8,4,10,Gold/Black,No,09/25/2025,284295,Junior,Emmy Fogarty,219-555-9746,Mrs. Williams,williams@example.com,Ms. Green,red@example.com
Benedict Johnson,Penn High School,Full Time,High School,Other,12,164,180,82%,90%,1,1,10,Gold/Black,No,09/25/2025,262463,Senior,Danielle Anderson,219-555-2193,Ms. Jones,jones@example.com,Ms. Green,green@example.com
Mac Wilson,Penn High School,Full Time,High School,Other,18,155,180,80%,93%,6,2,10,Gold/Black,No,09/25/2025,114910,Junior,Mac Fogarty,219-555-2985,Mrs. Williams,smith@example.com,Mrs. Black,blue@example.com
Emma DeFreitas,Penn High School,Full Time,High School,Other,11,177,180,86%,89%,4,0,10,Gold/Black,No,09/25/2025,783154,Senior,Katerina Fogarty,219-555-4906,Ms. Johnson,brown@example.com,Ms. Red,white@example.com
Emmy Johnson,Penn High School,Full Time,High School,Hispanic,2,172,180,94%,97%,5,9,10,Gold/Black,Yes,09/25/2025,497877,Victory Lap,Van Moore,219-555-5564,Ms. Johnson,jones@example.com,Mr. White,black@example.com
Elijah DeFreitas,Penn High School,Full Time,High School,Hispanic,19,163,180,95%,92%,8,1,10,Gold/Black,Yes,09/25/2025,707394,Senior,Emmy Wilson,219-555-4374,Ms. Johnson,jones@example.com,Mr. White,blue@example.com
Alexis Wilson,Penn High School,Full Time,High School,Black,2,169,180,86%,94%,4,4,10,Gold/Black,Yes,09/25/2025,410218,Junior,Emma Foster,219-555-7263,Ms. Johnson,smith@example.com,Ms. Green,white@example.com
Emma Fogarty,Penn High School,Full Time,High School,White,7,174,180,95%,91%,0,3,10,Gold/Black,No,09/25/2025,446838,Senior,Lucian Anderson,219-555-5664,Mr. Brown,jones@example.com,Ms. Red,red@example.com
Jane Smith,Penn High School,Full Time,High School,Asian,1,152,180,96%,92%,4,7,10,Gold/Black,No,09/25/2025,167603,Sophomore,Aiden Anderson,219-555-3048,Ms. Johnson,johson@example.com,Ms. Red,blue@example.com
Katerina Wilson,Penn High School,Full Time,High School,Asian,11,161,180,96%,98%,6,5,10,Gold/Black,Yes,09/25/2025,545856,Freshman,Kaden Brown,219-555-7449,Mrs. Williams,williams@example.com,Mr. White,black@example.com
Emma Wilson,Penn High School,Full Time,High School,Asian,6,151,180,85%,99%,4,2,10,Gold/Black,Yes,09/25/2025,194392,Junior,Eliana Smith,219-555-5393,Ms. Jones,brown@example.com,Mr. White,black@example.com
Emma Davis,Penn High School,Full Time,High School,White,0,173,180,99%,82%,1,8,10,Gold/Black,Yes,09/25/2025,633441,Victory Lap,Jane Johnson,219-555-9147,Ms. Jones,williams@example.com,Mr. Blue,green@example.com
Emma Wilson,Penn High School,Full Time,High School,Black,4,162,180,81%,87%,3,4,10,Gold/Black,Yes,09/25/2025,472927,Sophomore,Aiden Moore,219-555-9912,Mr. Brown,johson@example.com,Mr. White,black@example.com
Alexis Willaims,Penn High School,Full Time,High School,Other,3,169,180,80%,93%,7,7,10,Gold/Black,No,09/25/2025,105368,Victory Lap,Kyan Fogarty,219-555-4577,Mr. Smith,jones@example.com,Mrs. Black,green@example.com
Elijah Manukyan,Penn High School,Full Time,High School,Asian,10,169,180,82%,93%,0,5,10,Gold/Black,No,09/25/2025,876781,Sophomore,Lucian Wilson,219-555-9969,Mrs. Williams,smith@example.com,Mr. Blue,black@example.com
Danielle Wilson,Penn High School,Full Time,High School,Black,2,160,180,92%,88%,4,0,10,Gold/Black,No,09/25/2025,868304,Junior,Elijah Garcia,219-555-7970,Mrs. Williams,jones@example.com,Mr. Blue,black@example.com
Joe Jones,Penn High School,Full Time,High School,Other,0,160,180,94%,86%,9,6,10,Gold/Black,No,09/25/2025,983123,Junior,Eliana Brown,219-555-3067,Mrs. Williams,williams@example.com,Mr. Blue,green@example.com
Aiden DeFreitas,Penn High School,Full Time,High School,Asian,14,154,180,96%,94%,1,1,10,Gold/Black,No,09/25/2025,538003,Freshman,Emmy Smith,219-555-2767,Ms. Jones,brown@example.com,Ms. Red,black@example.com
Rachel Johnson,Penn High School,Full Time,High School,Hispanic,12,164,180,88%,93%,3,1,10,Gold/Black,Yes,09/25/2025,362491,Freshman,Marge Fogarty,219-555-9226,Mr. Brown,johson@example.com,Mr. Blue,white@example.com
Danielle Manukyan,Penn High School,Full Time,High School,White,0,151,180,98%,81%,5,2,10,Gold/Black,Yes,09/25/2025,596757,Sophomore,Rachel Wilson,219-555-7187,Ms. Jones,brown@example.com,Mr. Blue,green@example.com
Lisa Moore,Penn High School,Full Time,High School,White,11,169,180,82%,97%,6,4,10,Gold/Black,Yes,09/25/2025,822396,Junior,Ben DeFreitas,219-555-9505,Ms. Johnson,brown@example.com,Mrs. Black,blue@example.com
Keaton Smith,Penn High School,Full Time,High School,Other,12,173,180,90%,95%,2,1,10,Gold/Black,No,09/25/2025,136653,Victory Lap,Noah Johnson,219-555-4711,Ms. Johnson,smith@example.com,Ms. Green,blue@example.com
Elijah Willaims,Penn High School,Full Time,High School,White,12,153,180,85%,96%,7,3,10,Gold/Black,Yes,09/25/2025,368141,Junior,Mac Jones,219-555-3395,Mr. Brown,johson@example.com,Mrs. Black,black@example.com
Eliana Johnson,Penn High School,Full Time,High School,White,1,178,180,97%,90%,1,8,10,Gold/Black,No,09/25/2025,723307,Victory Lap,Andrew Wilson,219-555-9418,Mrs. Williams,williams@example.com,Ms. Green,white@example.com
Mac Wilson,Penn High School,Full Time,High School,Hispanic,0,154,180,92%,92%,6,1,10,Gold/Black,Yes,09/25/2025,962134,Freshman,Marge Fogarty,219-555-3408,Mr. Brown,smith@example.com,Mr. Blue,blue@example.com
Lucian Brown,Penn High School,Full Time,High School,Hispanic,9,150,180,98%,88%,5,9,10,Gold/Black,No,09/25/2025,553685,Sophomore,Jane Smith,219-555-6482,Ms. Johnson,brown@example.com,Ms. Green,green@example.com
Lucian Smith,Penn High School,Full Time,High School,Asian,17,172,180,98%,88%,4,8,10,Gold/Black,No,09/25/2025,195317,Junior,Rachel DeFreitas,219-555-3703,Mrs. Williams,brown@example.com,Mrs. Black,green@example.com
Noah Garcia,Penn High School,Full Time,High School,Asian,3,167,180,96%,80%,6,6,10,Gold/Black,Yes,09/25/2025,684702,Freshman,Mac Davis,219-555-6036,Ms. Jones,brown@example.com,Ms. Red,blue@example.com
Emmy DeFreitas,Penn High School,Full Time,High School,Black,10,166,180,96%,98%,4,6,10,Gold/Black,Yes,09/25/2025,181689,Victory Lap,Lucian Willaims,219-555-3506,Ms. Johnson,jones@example.com,Mr. White,green@example.com
Van Smith,Penn High School,Full Time,High School,Hispanic,7,167,180,92%,87%,7,2,10,Gold/Black,No,09/25/2025,517192,Victory Lap,Lisa Anderson,219-555-5551,Mrs. Williams,smith@example.com,Ms. Green,green@example.com
Alexis Miller,Penn High School,Full Time,High School,Black,19,162,180,84%,86%,1,9,10,Gold/Black,No,09/25/2025,509797,Senior,Lisa Brown,219-555-7529,Mr. Smith,brown@example.com,Ms. Green,white@example.com
Jill Fogarty,Penn High School,Full Time,High School,Other,18,176,180,93%,88%,5,0,10,Gold/Black,No,09/25/2025,346277,Senior,Emma Wilson,219-555-3726,Ms. Johnson,smith@example.com,Ms. Green,green@example.com
Mac Jones,Penn High School,Full Time,High School,White,1,162,180,87%,96%,8,3,10,Gold/Black,No,09/25/2025,436708,Freshman,Alexis Davis,219-555-2913,Ms. Jones,williams@example.com,Mrs. Black,green@example.com
Rachel DeFreitas,Penn High School,Full Time,High School,Hispanic,10,174,180,93%,80%,0,5,10,Gold/Black,No,09/25/2025,557629,Junior,Keaton Moore,219-555-9557,Ms. Johnson,brown@example.com,Mrs. Black,blue@example.com
