Name,Age,GPA,Credits Completed,Year,Pathway
Keaton Smith,18,4.09,4,Junior,Early College
Eliana Garcia,16,3.47,55,Sophomore,Early Childhood Education
Benedict Jones,15,2.54,6,Senior,Early College
Eliana Wilson,15,1.53,26,Sophomore,Business
Rachel Garcia,17,1.59,34,Sophomore,Early College
Emmy Jones,19,3.23,40,Sophomore,Criminal Justice
Aiden Moore,15,4.18,38,Sophomore,Construction
Kyan Foster,14,0.76,4,Senior,Marketing
Ben Miller,16,1.15,17,Junior,Culinary
Marge Foster,16,0.4,15,Junior,Early College
Katerina Davis,19,2.46,5,Junior,Culinary
Elijah Manukyan,18,0.5,19,Freshman,Computer Science
Kyan Miller,18,2.19,10,Junior,Early Childhood Education
Ben Davis,15,0.47,8,Freshman,Construction
Joe Jones,17,4.01,2,Freshman,Marketing
Eliana Miller,16,2.64,50,Junior,Early Childhood Education
Rachel Johnson,18,1.98,56,Senior,Culinary
Aiden Garcia,16,3.1,12,Junior,Criminal Justice
Kyan Willaims,19,2.57,19,Freshman,Criminal Justice
Noah Smith,18,1.97,44,Sophomore,Engineering
Keaton Brown,16,0.98,21,Junior,Business
Marge DeFreitas,19,2.42,23,Victory Lap,Computer Science
Roman DeFreitas,16,3.45,9,Freshman,Computer Science
Lisa DeFreitas,15,0.67,31,Senior,Bio Med
Keaton Miller,14,1.58,3,Freshman,Criminal Justice
Mac Miller,17,1.01,56,Freshman,Early Childhood Education
Kaden Manukyan,19,0.83,33,Junior,Early College
Rachel Fogarty,16,3.87,35,Freshman,Engineering
Keaton DeFreitas,18,4.28,49,Freshman,Business
Aiden Johnson,17,1.72,50,Sophomore,Computer Science
Alexis Wilson,16,4.15,9,Sophomore,Engineering
Jane Miller,15,3.65,50,Victory Lap,Business
Emmy Garcia,19,2.18,26,Freshman,Criminal Justice
Danielle Smith,17,1.59,41,Victory Lap,Bio Med
Kyan Davis,18,3.63,7,Freshman,Early Childhood Education
Elijah Johnson,14,1.2,56,Senior,Business
Elijah Wilson,15,4.26,13,Freshman,Criminal Justice
Danielle Davis,14,1.43,37,Junior,Culinary
Lucian Miller,15,1.06,21,Senior,Engineering
Andrew Johnson,17,4.01,45,Freshman,Business
Aiden Miller,16,3.66,35,Senior,Criminal Justice
Aiden Willaims,19,0.92,2,Sophomore,Early Childhood Education
Mac Miller,17,1.06,40,Victory Lap,Early Childhood Education
Marge Foster,17,1.33,12,Victory Lap,Marketing
Katerina Wilson,17,0.67,50,Senior,Early Childhood Education
Rachel Willaims,17,0.75,44,Freshman,Business
Emmy Smith,16,3.08,57,Victory Lap,Marketing
Lisa Anderson,18,0.73,33,Freshman,Computer Science
Benedict Manukyan,18,0.33,19,Senior,Marketing
Danielle Willaims,15,0.76,20,Sophomore,Computer Science
Van Smith,17,0.85,9,Junior,Bio Med
Katerina Willaims,18,0.53,23,Sophomore,Early Childhood Education
Alexis Manukyan,17,2.0,32,Senior,Marketing
Joe Wilson,18,1.51,58,Sophomore,Marketing
Benedict Anderson,15,2.45,7,Victory Lap,Early College
Danielle Moore,17,4.25,10,Senior,Criminal Justice
Noah Fogarty,15,1.0,59,Sophomore,Engineering
Mac Miller,16,1.08,54,Victory Lap,Early Childhood Education
Lisa Johnson,14,3.22,40,Senior,Business
Aiden Johnson,16,4.1,8,Junior,Business
Danielle Fogarty,17,1.52,44,Junior,Marketing
Eliana Smith,15,3.4,37,Senior,Bio Med
Andrew DeFreitas,18,3.98,13,Junior,Engineering
Joe Moore,16,1.52,18,Freshman,Business
Jane Brown,19,1.02,20,Freshman,Bio Med
Alexis Johnson,16,1.08,7,Junior,Engineering
Lisa Wilson,15,0.4,21,Senior,Marketing
Keaton Smith,16,0.81,4,Sophomore,Early College
Aiden Foster,16,1.82,33,Sophomore,Criminal Justice
Marge Davis,16,1.17,32,Victory Lap,Computer Science
Noah Fogarty,14,2.89,11,Senior,Business
Mac Garcia,16,2.88,48,Junior,Marketing
Katerina Wilson,16,4.02,19,Freshman,Criminal Justice
Danielle Smith,18,4.2,32,Freshman,Culinary
Mac Miller,19,3.2,44,Sophomore,Early College
Emma Moore,18,0.89,44,Victory Lap,Construction
Joe Wilson,16,2.86,7,Senior,Early College
Keaton DeFreitas,14,2.68,60,Junior,Engineering
Roman Brown,19,0.38,40,Freshman,Early Childhood Education
Lisa Wilson,19,3.91,59,Junior,Early Childhood Education
Roman DeFreitas,17,1.8,59,Victory Lap,Business
Elijah Foster,19,3.27,17,Senior,Culinary
Ben Smith,15,4.07,5,Freshman,Construction
Benedict Garcia,19,2.89,51,Freshman,Early Childhood Education
Noah Jones,18,0.79,36,Senior,Early Childhood Education
Marge Moore,17,2.69,49,Junior,Engineering
Lucian Garcia,14,4.09,56,Senior,Early College
Marge Brown,15,2.04,14,Victory Lap,Business
Marge Jones,19,1.13,1,Junior,Criminal Justice
Noah DeFreitas,18,2.37,47,Junior,Criminal Justice
Rachel Manukyan,17,2.41,5,Junior,Culinary
Jane Anderson,15,3.81,40,Freshman,Marketing
Joe Wilson,14,1.72,57,Junior,Culinary
Ben Willaims,18,2.83,48,Sophomore,Early College
Jane Moore,15,2.64,36,Senior,Early College
Rachel Johnson,14,3.45,7,Senior,Criminal Justice
Alexis Johnson,18,0.65,56,Freshman,Culinary
Benedict Smith,16,1.72,45,Victory Lap,Construction
Aiden DeFreitas,18,2.87,59,Senior,Early Childhood Education
Joe DeFreitas,19,4.06,0,Senior,Early College
Roman Willaims,16,1.19,16,Senior,Computer Science
Katerina Willaims,16,2.38,17,Victory Lap,Marketing
Eliana Anderson,16,1.93,45,Senior,Culinary
Van Garcia,18,3.39,33,Senior,Early College
Kaden DeFreitas,16,0.79,34,Junior,Early College
Kaden Anderson,19,1.84,0,Junior,Engineering
Katerina Brown,14,4.22,27,Sophomore,Computer Science
Joe Miller,15,0.44,37,Senior,Business
Aiden Johnson,14,0.33,30,Victory Lap,Construction
Keaton Foster,14,0.85,1,Sophomore,Construction
Noah Anderson,17,4.1,58,Senior,Construction
Ben Brown,15,2.54,30,Senior,Engineering
Joe Fogarty,14,0.86,58,Freshman,Business
Katerina Moore,16,3.89,13,Victory Lap,Bio Med
Emma Anderson,19,0.49,2,Sophomore,Early College
Kyan Miller,17,1.48,55,Senior,Bio Med
Marge Moore,14,3.44,58,Victory Lap,Early College
Danielle Garcia,15,3.4,18,Freshman,Engineering
Noah Willaims,17,3.64,37,Victory Lap,Construction
Rachel Fogarty,17,2.83,47,Junior,Marketing
Rachel Smith,17,0.38,23,Senior,Early College
Aiden Brown,19,1.25,40,Sophomore,Engineering
Mac Foster,18,1.36,18,Victory Lap,Early Childhood Education
Jill Fogarty,14,3.66,12,Freshman,Culinary
Alexis Johnson,14,4.22,47,Senior,Business
Joe Willaims,18,1.61,21,Sophomore,Culinary
Lisa DeFreitas,18,3.58,0,Victory Lap,Culinary
Danielle Moore,14,4.16,50,Sophomore,Business
Lisa Garcia,16,3.77,6,Victory Lap,Culinary
Danielle Miller,16,2.46,34,Junior,Computer Science
Emma Brown,19,3.71,38,Senior,Early College
Joe Garcia,15,0.9,52,Sophomore,Engineering
Roman Garcia,17,1.3,4,Sophomore,Computer Science
Rachel Brown,17,3.97,15,Freshman,Business
Roman Brown,18,1.03,40,Victory Lap,Bio Med
Emma Anderson,18,3.14,23,Junior,Early College
Ben Anderson,17,3.92,17,Victory Lap,Culinary
Aiden Johnson,18,2.67,60,Freshman,Engineering
Rachel Manukyan,14,2.74,1,Victory Lap,Early Childhood Education
Kaden Manukyan,14,4.07,35,Sophomore,Marketing
Van Brown,16,2.2,56,Freshman,Early College
Katerina Anderson,19,2.16,50,Freshman,Culinary
Roman Johnson,16,1.65,15,Sophomore,Criminal Justice
Katerina Smith,19,4.22,5,Junior,Computer Science
Eliana Anderson,18,0.84,9,Junior,Construction
Kaden Anderson,14,2.0,27,Sophomore,Culinary
Benedict Garcia,14,3.14,16,Victory Lap,Early College
Andrew Foster,14,1.53,4,Senior,Computer Science
Ben Foster,18,3.63,52,Victory Lap,Engineering
Van Wilson,16,1.43,25,Senior,Early Childhood Education
Katerina Johnson,15,4.26,9,Sophomore,Criminal Justice
Roman Manukyan,15,4.1,24,Senior,Engineering
Ben Jones,15,1.2,44,Sophomore,Business
Noah Davis,15,4.01,4,Junior,Bio Med
Emmy Foster,16,0.5,49,Victory Lap,Marketing
Emmy Garcia,16,0.94,35,Senior,Business
Benedict Wilson,15,2.23,19,Senior,Bio Med
Lisa Anderson,15,0.7,52,Junior,Early Childhood Education
Katerina Fogarty,15,1.54,25,Sophomore,Construction
Danielle Willaims,18,4.2,56,Victory Lap,Criminal Justice
Rachel Manukyan,18,0.85,0,Victory Lap,Early Childhood Education
Jane Anderson,16,0.96,55,Sophomore,Criminal Justice
Emmy Smith,14,0.7,13,Junior,Construction
Marge Foster,19,0.49,54,Victory Lap,Construction
Lisa Johnson,17,4.16,17,Victory Lap,Marketing
Danielle Smith,19,4.21,23,Senior,Culinary
Danielle Davis,16,2.44,28,Senior,Engineering
Van DeFreitas,18,0.47,9,Junior,Early College
Joe Wilson,16,2.65,42,Junior,Construction
Roman Johnson,17,1.12,50,Senior,Marketing
Ben Fogarty,18,2.15,39,Freshman,Criminal Justice
Lisa Davis,19,2.3,10,Senior,Culinary
Aiden Moore,18,1.52,29,Junior,Business
Van Smith,18,3.8,42,Sophomore,Culinary
Andrew Anderson,19,1.45,50,Freshman,Engineering
Joe Fogarty,15,2.68,52,Freshman,Culinary
Emma Foster,17,3.19,48,Freshman,Early College
Emma Jones,17,1.72,41,Freshman,Culinary
Aiden Foster,19,2.32,15,Victory Lap,Culinary
Van Moore,15,4.16,12,Sophomore,Marketing
Jane Anderson,15,2.77,15,Senior,Early Childhood Education
Marge DeFreitas,14,1.93,39,Sophomore,Construction
Eliana Brown,16,0.77,11,Senior,Business
Ben Foster,16,0.88,31,Freshman,Marketing
Emma DeFreitas,14,3.81,31,Sophomore,Early Childhood Education
Jane Wilson,17,0.33,0,Junior,Marketing
Ben Miller,19,1.89,26,Freshman,Engineering
Lisa Fogarty,19,3.9,13,Senior,Engineering
Kyan Foster,14,2.76,49,Victory Lap,Construction
Marge Johnson,17,4.05,60,Victory Lap,Culinary
Lisa Johnson,17,2.73,30,Victory Lap,Criminal Justice
Katerina Fogarty,19,1.59,12,Sophomore,Computer Science
Andrew Fogarty,19,2.54,6,Senior,Culinary
Lucian Wilson,16,1.59,34,Victory Lap,Criminal Justice
Jill Anderson,17,1.69,34,Victory Lap,Criminal Justice
Jill Manukyan,19,0.49,55,Sophomore,Bio Med
Kyan Smith,18,0.78,56,Sophomore,Criminal Justice
Katerina DeFreitas,17,2.8,25,Junior,Early College
Katerina Miller,15,1.03,52,Sophomore,Business
Lisa Smith,19,2.26,48,Junior,Computer Science
Aiden Anderson,17,4.2,23,Junior,Bio Med
Emma Smith,14,3.2,57,Sophomore,Construction
Ben Jones,17,4.08,12,Freshman,Bio Med
Alexis Foster,18,3.08,9,Victory Lap,Engineering
Emma Jones,19,1.32,50,Sophomore,Construction
Roman Moore,16,1.47,1,Sophomore,Early College
Kyan Willaims,15,1.05,20,Junior,Business
Emma Smith,18,2.26,56,Senior,Computer Science
Danielle Davis,14,3.79,35,Sophomore,Construction
Eliana Moore,15,3.79,58,Victory Lap,Culinary
Eliana Manukyan,17,3.76,56,Victory Lap,Early College
Van Johnson,18,0.75,18,Junior,Marketing
Roman Manukyan,17,1.74,52,Senior,Culinary
Noah Jones,14,3.13,35,Sophomore,Early College
Emma Moore,19,2.71,39,Senior,Bio Med
Jill Jones,18,2.59,16,Sophomore,Bio Med
Noah Foster,17,0.46,54,Sophomore,Construction
Van Anderson,19,2.33,50,Senior,Construction
Marge Moore,18,3.96,41,Victory Lap,Engineering
Ben DeFreitas,15,3.49,59,Junior,Early Childhood Education
Eliana Miller,17,3.37,2,Junior,Early Childhood Education
Marge DeFreitas,17,2.17,3,Sophomore,Engineering
Ben Brown,18,3.08,5,Victory Lap,Culinary
Andrew Fogarty,16,1.4,59,Junior,Marketing
Kaden Manukyan,17,0.51,43,Senior,Business
Marge Wilson,17,0.45,0,Sophomore,Engineering
Roman Willaims,15,3.94,54,Senior,Business
Van Johnson,17,2.38,40,Victory Lap,Business
Aiden Brown,18,1.46,0,Freshman,Culinary
Kaden Miller,19,3.78,8,Senior,Bio Med
Lucian Willaims,18,4.09,38,Sophomore,Business
Rachel Miller,15,1.67,33,Freshman,Culinary
Alexis Moore,16,2.57,20,Senior,Criminal Justice
Emma Wilson,15,2.79,5,Senior,Engineering
Kaden Davis,16,1.79,24,Junior,Early Childhood Education
Marge Smith,18,0.79,38,Senior,Marketing
Aiden Smith,14,3.71,51,Senior,Business
Danielle Johnson,18,1.38,3,Freshman,Computer Science
Noah Brown,18,0.55,41,Freshman,Bio Med
Jane Miller,14,0.47,5,Victory Lap,Business
Benedict Fogarty,19,0.51,20,Senior,Business
Keaton Brown,14,2.86,5,Junior,Computer Science
Mac Garcia,19,3.48,1,Freshman,Culinary
Rachel Anderson,15,1.43,19,Junior,Early College
Elijah Manukyan,16,3.22,24,Freshman,Computer Science
Lisa Miller,14,3.3,40,Senior,Computer Science
Katerina Jones,15,0.31,54,Victory Lap,Early College
Jane Davis,16,2.82,49,Victory Lap,Computer Science
Eliana DeFreitas,14,1.08,60,Senior,Marketing
Van DeFreitas,17,2.21,26,Sophomore,Business
Jill DeFreitas,14,1.02,20,Freshman,Criminal Justice
Emmy Wilson,16,2.71,41,Junior,Computer Science
Kaden Anderson,16,3.23,4,Junior,Construction
Mac Garcia,15,1.96,3,Sophomore,Early Childhood Education
Lisa Foster,16,0.55,6,Victory Lap,Culinary
Benedict Jones,18,3.1,11,Junior,Early College
Jane DeFreitas,19,4.1,27,Freshman,Bio Med
Lucian Manukyan,19,1.3,55,Junior,Culinary
Jill Moore,14,3.08,29,Sophomore,Construction
Roman Johnson,15,2.36,56,Sophomore,Construction
Van Moore,18,4.25,42,Junior,Early Childhood Education
Lucian Jones,14,1.86,54,Freshman,Criminal Justice
Joe Moore,19,3.03,10,Victory Lap,Culinary
Marge Moore,16,0.99,10,Senior,Criminal Justice
Lucian Anderson,16,0.35,27,Victory Lap,Construction
Marge Davis,15,3.23,35,Freshman,Early College
Alexis Johnson,17,1.84,43,Junior,Culinary
Elijah Davis,14,2.6,48,Sophomore,Culinary
Elijah Davis,16,2.2,51,Junior,Culinary
Van Miller,19,3.56,25,Sophomore,Computer Science
Alexis Manukyan,19,1.24,9,Sophomore,Construction
Keaton Miller,16,2.14,44,Freshman,Computer Science
Alexis Foster,16,2.98,48,Sophomore,Business
Aiden Foster,18,3.64,38,Victory Lap,Criminal Justice
Jane Brown,17,0.99,28,Senior,Engineering
Benedict DeFreitas,16,0.8,13,Freshman,Culinary
Emma Wilson,18,4.3,17,Senior,Early College
Roman Davis,15,0.91,54,Sophomore,Early Childhood Education
Van Garcia,16,1.69,1,Sophomore,Computer Science
Joe Willaims,14,2.41,33,Senior,Computer Science
Elijah Jones,18,3.68,56,Senior,Business
Ben Johnson,17,3.41,25,Sophomore,Early Childhood Education
Van Smith,16,0.33,26,Victory Lap,Criminal Justice
Jill Moore,15,3.31,45,Victory Lap,Engineering
Noah Jones,17,3.96,26,Freshman,Engineering
Joe Brown,18,3.83,45,Senior,Bio Med
Mac Johnson,17,3.48,49,Victory Lap,Culinary
Aiden Wilson,15,1.31,41,Sophomore,Business
Kaden Anderson,16,2.86,26,Victory Lap,Early Childhood Education
Roman Willaims,17,2.8,5,Victory Lap,Business
Kyan Miller,15,4.03,4,Sophomore,Marketing
Van Moore,19,3.74,34,Senior,Early Childhood Education
Joe Anderson,15,1.17,37,Senior,Engineering
Noah Foster,17,0.87,57,Freshman,Criminal Justice
Benedict Jones,17,3.31,14,Senior,Early College
Noah Smith,14,3.33,15,Sophomore,Culinary
Eliana Manukyan,17,0.44,6,Freshman,Marketing
Andrew Foster,19,2.03,22,Victory Lap,Marketing
Van Wilson,16,2.22,29,Victory Lap,Early College
Noah Moore,14,1.57,54,Sophomore,Construction
Mac Anderson,15,2.36,14,Junior,Engineering
Benedict Garcia,14,2.38,13,Sophomore,Engineering
Emma Miller,18,2.7,50,Victory Lap,Construction
Alexis Moore,16,4.08,39,Junior,Business
Emma Garcia,14,4.14,60,Sophomore,Construction
Eliana Brown,15,0.71,56,Sophomore,Business
Aiden DeFreitas,14,0.34,29,Sophomore,Early College
Jane Miller,19,0.5,35,Victory Lap,Construction
Jill Garcia,19,3.02,0,Senior,Criminal Justice
Benedict Garcia,15,2.3,51,Junior,Culinary
Aiden Fogarty,17,1.66,20,Freshman,Culinary
Roman Miller,17,1.5,29,Senior,Early Childhood Education
Danielle Miller,17,1.2,9,Sophomore,Culinary
Van Miller,19,0.33,39,Sophomore,Construction
Emma Wilson,16,2.68,46,Victory Lap,Business
Emmy Davis,14,3.16,8,Victory Lap,Construction
Elijah Fogarty,19,2.74,39,Victory Lap,Engineering
Rachel Johnson,14,3.09,6,Freshman,Criminal Justice
Emmy Moore,18,1.66,41,Freshman,Early Childhood Education
Alexis Foster,19,1.73,57,Sophomore,Early Childhood Education
Marge Manukyan,14,3.45,13,Victory Lap,Business
Rachel Johnson,15,3.35,52,Victory Lap,Criminal Justice
Marge Foster,17,3.2,30,Junior,Culinary
Katerina Moore,14,2.52,48,Senior,Business
Emma Moore,18,1.53,50,Freshman,Criminal Justice
Mac Fogarty,14,3.87,27,Freshman,Business
Ben Brown,18,2.47,53,Senior,Business
Aiden Wilson,19,3.28,39,Victory Lap,Bio Med
Lucian Wilson,17,0.78,21,Senior,Marketing
Kyan Moore,14,4.08,43,Junior,Criminal Justice
Aiden Willaims,17,4.16,47,Junior,Early Childhood Education
Alexis Moore,17,1.63,42,Freshman,Computer Science
Eliana Garcia,15,1.45,29,Victory Lap,Criminal Justice
Emma Manukyan,17,3.9,55,Junior,Computer Science
Mac Fogarty,14,2.64,40,Sophomore,Marketing
Emmy Fogarty,15,2.02,45,Senior,Early Childhood Education
Joe DeFreitas,17,3.85,1,Victory Lap,Early College
Roman Jones,15,3.91,37,Sophomore,Construction
Emma DeFreitas,19,2.78,6,Sophomore,Bio Med
Van Wilson,18,0.92,50,Sophomore,Bio Med
Jill Smith,19,3.01,31,Sophomore,Culinary
Marge Fogarty,14,1.02,44,Junior,Engineering
Eliana Moore,15,2.3,51,Sophomore,Computer Science
Kaden Miller,16,2.99,59,Victory Lap,Construction
